cpu-bind=MASK - bp1-compute159, task 4294967295 4294967295 [0]: mask 0xf3f9f0f0f3f9f0f set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.296795 secs
Exciton, frame 44432 ran in:  14.196512937545776
Exciton, frame 44433 ran in:  14.497066020965576
Exciton, frame 44434 ran in:  14.32720947265625
Exciton, frame 44435 ran in:  14.118658542633057
Exciton, frame 44436 ran in:  14.389190912246704
Exciton, frame 44437 ran in:  13.957157135009766
Exciton, frame 44438 ran in:  13.63812518119812
Exciton, frame 44439 ran in:  14.52531361579895
Exciton, frame 44440 ran in:  13.941633462905884
Exciton, frame 44441 ran in:  14.242244482040405
Exciton, frame 44442 ran in:  14.470433712005615
Exciton, frame 44443 ran in:  14.036937952041626
Exciton, frame 44444 ran in:  14.420658826828003
Exciton, frame 44445 ran in:  14.106512308120728
Exciton, frame 44446 ran in:  13.615784406661987
Exciton, frame 44447 ran in:  14.19359302520752
Exciton, frame 44448 ran in:  14.371344566345215
Exciton, frame 44449 ran in:  13.594820261001587
Exciton, frame 44450 ran in:  14.16479229927063
Exciton, frame 44451 ran in:  13.664530754089355
Exciton, frame 44452 ran in:  13.880277872085571
Exciton, frame 44453 ran in:  14.392128705978394
Exciton, frame 44454 ran in:  14.213334083557129
Exciton, frame 44455 ran in:  13.76860785484314
Exciton, frame 44456 ran in:  14.718165874481201
Exciton, frame 44457 ran in:  15.023626565933228
Exciton, frame 44458 ran in:  14.19094705581665
Exciton, frame 44459 ran in:  14.407047748565674
Exciton, frame 44460 ran in:  14.363791227340698
Exciton, frame 44461 ran in:  13.935581684112549
Exciton, frame 44462 ran in:  14.158152341842651
Exciton, frame 44463 ran in:  14.459624528884888
Exciton, frame 44464 ran in:  14.654224395751953
Exciton, frame 44465 ran in:  14.168109893798828
Exciton, frame 44466 ran in:  13.869581699371338
Exciton, frame 44467 ran in:  14.669390201568604
Exciton, frame 44468 ran in:  14.273247003555298
Exciton, frame 44469 ran in:  14.185499668121338
Exciton, frame 44470 ran in:  14.468776941299438
Exciton, frame 44471 ran in:  14.08643913269043
Exciton, frame 44472 ran in:  14.609371900558472
Exciton, frame 44473 ran in:  14.561253786087036
Exciton, frame 44474 ran in:  14.093719959259033
Exciton, frame 44475 ran in:  14.738876104354858
Exciton, frame 44476 ran in:  14.726583003997803
Exciton, frame 44477 ran in:  14.176165103912354
Exciton, frame 44478 ran in:  14.571020364761353
Exciton, frame 44479 ran in:  14.8751220703125
Exciton, frame 44480 ran in:  14.30141282081604
Exciton, frame 44481 ran in:  14.45648193359375
Exciton, frame 44482 ran in:  14.213256120681763
Exciton, frame 44483 ran in:  14.27289342880249
Exciton, frame 44484 ran in:  14.400453805923462
Exciton, frame 44485 ran in:  14.472729444503784
Exciton, frame 44486 ran in:  14.65980839729309
Exciton, frame 44487 ran in:  14.593689441680908
Exciton, frame 44488 ran in:  14.161756992340088
Exciton, frame 44489 ran in:  14.285103559494019
Exciton, frame 44490 ran in:  14.648690700531006
Exciton, frame 44491 ran in:  14.095307111740112
Exciton, frame 44492 ran in:  14.460384130477905
Exciton, frame 44493 ran in:  14.581976652145386
Exciton, frame 44494 ran in:  14.040445327758789
Exciton, frame 44495 ran in:  14.980807542800903
Exciton, frame 44496 ran in:  14.709079504013062
Exciton, frame 44497 ran in:  14.411400079727173
Exciton, frame 44498 ran in:  14.648027896881104
Exciton, frame 44499 ran in:  14.600674867630005
Exciton, frame 44500 ran in:  14.419792890548706
Exciton, frame 44501 ran in:  14.727972984313965
Exciton, frame 44502 ran in:  14.402875185012817
Exciton, frame 44503 ran in:  14.476640224456787
Exciton, frame 44504 ran in:  14.308293104171753
Exciton, frame 44505 ran in:  14.695549964904785
Exciton, frame 44506 ran in:  14.493862628936768
Exciton, frame 44507 ran in:  14.88049030303955
Exciton, frame 44508 ran in:  14.337785482406616
Exciton, frame 44509 ran in:  14.869087934494019
Exciton, frame 44510 ran in:  14.495080471038818
Exciton, frame 44511 ran in:  14.769898653030396
Exciton, frame 44512 ran in:  14.369725704193115
Exciton, frame 44513 ran in:  14.988579750061035
Exciton, frame 44514 ran in:  14.586692094802856
Exciton, frame 44515 ran in:  14.548109292984009
Exciton, frame 44516 ran in:  14.46141791343689
Exciton, frame 44517 ran in:  14.638782024383545
Exciton, frame 44518 ran in:  14.351703882217407
Exciton, frame 44519 ran in:  14.613516330718994
Exciton, frame 44520 ran in:  14.409943342208862
Exciton, frame 44521 ran in:  14.438464641571045
Exciton, frame 44522 ran in:  14.722775936126709
Exciton, frame 44523 ran in:  14.414588689804077
Exciton, frame 44524 ran in:  14.202000141143799
Exciton, frame 44525 ran in:  14.500105857849121
Exciton, frame 44526 ran in:  14.580609321594238
Exciton, frame 44527 ran in:  14.082470655441284
Exciton, frame 44528 ran in:  14.597750425338745
Exciton, frame 44529 ran in:  14.619514226913452
Exciton, frame 44530 ran in:  13.899331331253052
Exciton, frame 44531 ran in:  14.82718825340271
Exciton, frame 44532 ran in:  14.917105913162231
Exciton, frame 44533 ran in:  14.317346572875977
Exciton, frame 44534 ran in:  14.544639348983765
Exciton, frame 44535 ran in:  14.664484739303589
Exciton, frame 44536 ran in:  14.600379228591919
Exciton, frame 44537 ran in:  14.867238283157349
Exciton, frame 44538 ran in:  14.473249673843384
Exciton, frame 44539 ran in:  14.441245079040527
Exciton, frame 44540 ran in:  15.101141214370728
Exciton, frame 44541 ran in:  14.331213235855103
Exciton, frame 44542 ran in:  14.50393271446228
Exciton, frame 44543 ran in:  14.940320253372192
Exciton, frame 44544 ran in:  14.156034231185913
Exciton, frame 44545 ran in:  14.495720863342285
Exciton, frame 44546 ran in:  14.588220596313477
Exciton, frame 44547 ran in:  14.35689401626587
Exciton, frame 44548 ran in:  14.684515714645386
Exciton, frame 44549 ran in:  14.458820581436157
Exciton, frame 44550 ran in:  14.698290824890137
Exciton, frame 44551 ran in:  14.338138341903687
Exciton, frame 44552 ran in:  14.069084167480469
Exciton, frame 44553 ran in:  15.181685209274292
Exciton, frame 44554 ran in:  14.528542518615723
Exciton, frame 44555 ran in:  13.879031896591187
Exciton, frame 44556 ran in:  14.71487545967102
Exciton, frame 44557 ran in:  14.993888139724731
Exciton, frame 44558 ran in:  14.873843669891357
Exciton, frame 44559 ran in:  14.467343807220459
Exciton, frame 44560 ran in:  14.813805103302002
