cpu-bind=MASK - bp1-compute215, task 4294967295 4294967295 [0]: mask 0x1fefff001fefff0 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.168294 secs
Exciton, frame 80522 ran in:  11.824800252914429
Exciton, frame 80523 ran in:  11.492563724517822
Exciton, frame 80524 ran in:  11.822980642318726
Exciton, frame 80525 ran in:  11.939615488052368
Exciton, frame 80526 ran in:  12.00355339050293
Exciton, frame 80527 ran in:  11.604120969772339
Exciton, frame 80528 ran in:  12.088436841964722
Exciton, frame 80529 ran in:  12.209336519241333
Exciton, frame 80530 ran in:  12.642377614974976
Exciton, frame 80531 ran in:  13.094363451004028
Exciton, frame 80532 ran in:  12.00238561630249
Exciton, frame 80533 ran in:  12.502454280853271
Exciton, frame 80534 ran in:  12.292230367660522
Exciton, frame 80535 ran in:  12.119657516479492
Exciton, frame 80536 ran in:  11.671769857406616
Exciton, frame 80537 ran in:  12.328157186508179
Exciton, frame 80538 ran in:  11.94984483718872
Exciton, frame 80539 ran in:  11.986602306365967
Exciton, frame 80540 ran in:  12.319097518920898
Exciton, frame 80541 ran in:  12.2152259349823
Exciton, frame 80542 ran in:  11.700607776641846
Exciton, frame 80543 ran in:  12.168059349060059
Exciton, frame 80544 ran in:  12.259295225143433
Exciton, frame 80545 ran in:  13.150049686431885
Exciton, frame 80546 ran in:  11.478554964065552
Exciton, frame 80547 ran in:  12.940078258514404
Exciton, frame 80548 ran in:  11.591867446899414
Exciton, frame 80549 ran in:  12.338815927505493
Exciton, frame 80550 ran in:  11.862393140792847
Exciton, frame 80551 ran in:  11.667630672454834
Exciton, frame 80552 ran in:  12.494916200637817
Exciton, frame 80553 ran in:  12.607290983200073
Exciton, frame 80554 ran in:  11.833820104598999
Exciton, frame 80555 ran in:  13.210360527038574
Exciton, frame 80556 ran in:  13.022370100021362
Exciton, frame 80557 ran in:  13.042264223098755
Exciton, frame 80558 ran in:  11.274540185928345
Exciton, frame 80559 ran in:  11.691887855529785
Exciton, frame 80560 ran in:  12.397472858428955
Exciton, frame 80561 ran in:  12.99778938293457
