cpu-bind=MASK - bp1-compute212, task 4294967295 4294967295 [0]: mask 0xffff3210ffff3210 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 53.755255 secs
Exciton, frame 32505 ran in:  12.249300956726074
Exciton, frame 32506 ran in:  12.42201018333435
Exciton, frame 32507 ran in:  12.470508098602295
Exciton, frame 32508 ran in:  12.071061611175537
Exciton, frame 32509 ran in:  12.121443510055542
Exciton, frame 32510 ran in:  11.637557983398438
Exciton, frame 32511 ran in:  12.346999168395996
Exciton, frame 32512 ran in:  12.19591474533081
Exciton, frame 32513 ran in:  12.254152774810791
Exciton, frame 32514 ran in:  12.136934280395508
Exciton, frame 32515 ran in:  12.212984085083008
Exciton, frame 32516 ran in:  12.453471899032593
Exciton, frame 32517 ran in:  12.190977096557617
Exciton, frame 32518 ran in:  12.44983983039856
Exciton, frame 32519 ran in:  12.289809703826904
Exciton, frame 32520 ran in:  12.168193817138672
Exciton, frame 32521 ran in:  12.141307830810547
Exciton, frame 32522 ran in:  12.379170656204224
Exciton, frame 32523 ran in:  12.333250045776367
Exciton, frame 32524 ran in:  12.344935894012451
Exciton, frame 32525 ran in:  12.064348459243774
Exciton, frame 32526 ran in:  12.203392744064331
Exciton, frame 32527 ran in:  12.189118385314941
Exciton, frame 32528 ran in:  12.193013191223145
Exciton, frame 32529 ran in:  12.279223203659058
Exciton, frame 32530 ran in:  12.060868978500366
Exciton, frame 32531 ran in:  12.147785425186157
Exciton, frame 32532 ran in:  12.15821623802185
Exciton, frame 32533 ran in:  12.021417379379272
Exciton, frame 32534 ran in:  11.759713649749756
Exciton, frame 32535 ran in:  12.237459421157837
Exciton, frame 32536 ran in:  12.275078058242798
Exciton, frame 32537 ran in:  11.855034828186035
Exciton, frame 32538 ran in:  12.276982307434082
Exciton, frame 32539 ran in:  11.80461311340332
Exciton, frame 32540 ran in:  12.028875827789307
Exciton, frame 32541 ran in:  12.524426221847534
Exciton, frame 32542 ran in:  12.330355882644653
Exciton, frame 32543 ran in:  12.042738676071167
Exciton, frame 32544 ran in:  12.039034366607666
Exciton, frame 32545 ran in:  12.326484203338623
Exciton, frame 32546 ran in:  12.42283582687378
Exciton, frame 32547 ran in:  12.050037145614624
Exciton, frame 32548 ran in:  12.218199968338013
Exciton, frame 32549 ran in:  12.36049509048462
Exciton, frame 32550 ran in:  12.465836763381958
Exciton, frame 32551 ran in:  12.270713567733765
Exciton, frame 32552 ran in:  12.213533163070679
Exciton, frame 32553 ran in:  12.205301761627197
Exciton, frame 32554 ran in:  12.191701889038086
Exciton, frame 32555 ran in:  12.374006032943726
Exciton, frame 32556 ran in:  12.320668458938599
Exciton, frame 32557 ran in:  12.282644271850586
Exciton, frame 32558 ran in:  12.053646087646484
Exciton, frame 32559 ran in:  12.28375506401062
Exciton, frame 32560 ran in:  12.238295078277588
Exciton, frame 32561 ran in:  12.25039005279541
