cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfe01fe3bfe01fe set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 38.550530 secs
Exciton, frame 76349 ran in:  13.285355806350708
Exciton, frame 76350 ran in:  13.329589128494263
Exciton, frame 76351 ran in:  13.316713333129883
Exciton, frame 76352 ran in:  12.999882936477661
Exciton, frame 76353 ran in:  13.52375054359436
Exciton, frame 76354 ran in:  13.520326852798462
Exciton, frame 76355 ran in:  13.001525163650513
Exciton, frame 76356 ran in:  13.720370292663574
Exciton, frame 76357 ran in:  14.202518701553345
Exciton, frame 76358 ran in:  13.613802909851074
Exciton, frame 76359 ran in:  13.21899700164795
Exciton, frame 76360 ran in:  13.373056650161743
Exciton, frame 76361 ran in:  13.146286249160767
Exciton, frame 76362 ran in:  13.244800806045532
Exciton, frame 76363 ran in:  13.678537607192993
Exciton, frame 76364 ran in:  13.182780027389526
Exciton, frame 76365 ran in:  13.358747243881226
Exciton, frame 76366 ran in:  13.377007484436035
Exciton, frame 76367 ran in:  13.34206247329712
Exciton, frame 76368 ran in:  13.561515092849731
Exciton, frame 76369 ran in:  13.189542531967163
Exciton, frame 76370 ran in:  13.049664735794067
Exciton, frame 76371 ran in:  13.748305082321167
Exciton, frame 76372 ran in:  13.587234258651733
Exciton, frame 76373 ran in:  13.799596548080444
Exciton, frame 76374 ran in:  14.02370572090149
Exciton, frame 76375 ran in:  13.461583137512207
Exciton, frame 76376 ran in:  13.475079536437988
Exciton, frame 76377 ran in:  13.120686292648315
Exciton, frame 76378 ran in:  13.265647411346436
Exciton, frame 76379 ran in:  13.443923473358154
Exciton, frame 76380 ran in:  13.371862411499023
Exciton, frame 76381 ran in:  13.150670766830444
Exciton, frame 76382 ran in:  13.629506349563599
Exciton, frame 76383 ran in:  13.247408151626587
Exciton, frame 76384 ran in:  13.235082387924194
Exciton, frame 76385 ran in:  13.39055061340332
Exciton, frame 76386 ran in:  13.297115564346313
Exciton, frame 76387 ran in:  13.463113784790039
Exciton, frame 76388 ran in:  13.083243608474731
Exciton, frame 76389 ran in:  13.79132342338562
Exciton, frame 76390 ran in:  13.879900217056274
Exciton, frame 76391 ran in:  13.530088424682617
Exciton, frame 76392 ran in:  13.64888858795166
Exciton, frame 76393 ran in:  13.375314950942993
Exciton, frame 76394 ran in:  13.32154655456543
Exciton, frame 76395 ran in:  13.266808986663818
Exciton, frame 76396 ran in:  13.303235054016113
Exciton, frame 76397 ran in:  13.871832847595215
Exciton, frame 76398 ran in:  13.350834846496582
Exciton, frame 76399 ran in:  13.725549221038818
Exciton, frame 76400 ran in:  13.449394702911377
Exciton, frame 76401 ran in:  13.636058330535889
Exciton, frame 76402 ran in:  13.572516441345215
Exciton, frame 76403 ran in:  13.427652597427368
Exciton, frame 76404 ran in:  13.448445081710815
Exciton, frame 76405 ran in:  13.255831480026245
Exciton, frame 76406 ran in:  13.884859085083008
Exciton, frame 76407 ran in:  13.687812328338623
Exciton, frame 76408 ran in:  13.32808542251587
Exciton, frame 76409 ran in:  12.9396812915802
Exciton, frame 76410 ran in:  13.1620454788208
Exciton, frame 76411 ran in:  13.571300506591797
Exciton, frame 76412 ran in:  13.490865468978882
Exciton, frame 76413 ran in:  13.282663106918335
Exciton, frame 76414 ran in:  13.43921446800232
Exciton, frame 76415 ran in:  13.342937469482422
Exciton, frame 76416 ran in:  13.399913311004639
Exciton, frame 76417 ran in:  13.45550799369812
Exciton, frame 76418 ran in:  13.490010023117065
Exciton, frame 76419 ran in:  13.77926516532898
Exciton, frame 76420 ran in:  13.433330297470093
Exciton, frame 76421 ran in:  13.544911623001099
Exciton, frame 76422 ran in:  13.197981357574463
Exciton, frame 76423 ran in:  13.510866641998291
Exciton, frame 76424 ran in:  13.414021015167236
Exciton, frame 76425 ran in:  13.738571166992188
Exciton, frame 76426 ran in:  13.26822543144226
Exciton, frame 76427 ran in:  13.490844964981079
Exciton, frame 76428 ran in:  13.2931489944458
Exciton, frame 76429 ran in:  13.832327604293823
Exciton, frame 76430 ran in:  13.253842115402222
Exciton, frame 76431 ran in:  13.179932594299316
Exciton, frame 76432 ran in:  13.695316553115845
Exciton, frame 76433 ran in:  13.622682809829712
Exciton, frame 76434 ran in:  13.525034427642822
Exciton, frame 76435 ran in:  13.611587524414062
Exciton, frame 76436 ran in:  13.588141202926636
Exciton, frame 76437 ran in:  13.402837753295898
Exciton, frame 76438 ran in:  13.256230354309082
Exciton, frame 76439 ran in:  13.278937339782715
Exciton, frame 76440 ran in:  13.644100904464722
Exciton, frame 76441 ran in:  13.458306312561035
Exciton, frame 76442 ran in:  13.223002672195435
Exciton, frame 76443 ran in:  13.676216840744019
Exciton, frame 76444 ran in:  13.572422981262207
Exciton, frame 76445 ran in:  13.268473863601685
Exciton, frame 76446 ran in:  13.21889591217041
Exciton, frame 76447 ran in:  13.716710090637207
Exciton, frame 76448 ran in:  13.636335849761963
Exciton, frame 76449 ran in:  13.316929578781128
Exciton, frame 76450 ran in:  13.895935535430908
Exciton, frame 76451 ran in:  13.85512399673462
Exciton, frame 76452 ran in:  13.497868537902832
Exciton, frame 76453 ran in:  13.138573408126831
Exciton, frame 76454 ran in:  13.26968502998352
Exciton, frame 76455 ran in:  13.145666360855103
Exciton, frame 76456 ran in:  13.612727880477905
Exciton, frame 76457 ran in:  13.126335859298706
Exciton, frame 76458 ran in:  13.385178089141846
Exciton, frame 76459 ran in:  13.260565042495728
Exciton, frame 76460 ran in:  13.244568586349487
Exciton, frame 76461 ran in:  13.27940058708191
Exciton, frame 76462 ran in:  13.888442754745483
Exciton, frame 76463 ran in:  13.520618200302124
Exciton, frame 76464 ran in:  13.797959566116333
Exciton, frame 76465 ran in:  13.15906810760498
Exciton, frame 76466 ran in:  13.786868572235107
Exciton, frame 76467 ran in:  13.728496074676514
Exciton, frame 76468 ran in:  13.054221868515015
Exciton, frame 76469 ran in:  13.44275188446045
Exciton, frame 76470 ran in:  13.669930696487427
Exciton, frame 76471 ran in:  13.510491847991943
Exciton, frame 76472 ran in:  13.73847484588623
Exciton, frame 76473 ran in:  13.9462308883667
Exciton, frame 76474 ran in:  13.792560815811157
Exciton, frame 76475 ran in:  13.285964965820312
Exciton, frame 76476 ran in:  13.35275149345398
Exciton, frame 76477 ran in:  13.851293802261353
Exciton, frame 76478 ran in:  13.236958503723145
Exciton, frame 76479 ran in:  13.514039754867554
Exciton, frame 76480 ran in:  13.485544204711914
Exciton, frame 76481 ran in:  13.381020307540894
Exciton, frame 76482 ran in:  13.453696489334106
Exciton, frame 76483 ran in:  13.578174829483032
Exciton, frame 76484 ran in:  13.259700536727905
Exciton, frame 76485 ran in:  13.395275354385376
Exciton, frame 76486 ran in:  14.30990719795227
Exciton, frame 76487 ran in:  14.30823826789856
Exciton, frame 76488 ran in:  13.559500217437744
Exciton, frame 76489 ran in:  13.417309284210205
Exciton, frame 76490 ran in:  13.101876020431519
Exciton, frame 76491 ran in:  13.445780992507935
Exciton, frame 76492 ran in:  13.979286193847656
Exciton, frame 76493 ran in:  13.589438438415527
Exciton, frame 76494 ran in:  13.388336896896362
Exciton, frame 76495 ran in:  13.52822732925415
Exciton, frame 76496 ran in:  13.53523302078247
Exciton, frame 76497 ran in:  13.73573088645935
Exciton, frame 76498 ran in:  13.741783857345581
Exciton, frame 76499 ran in:  13.34513521194458
Exciton, frame 76500 ran in:  13.572099208831787
Exciton, frame 76501 ran in:  13.464560747146606
Exciton, frame 76502 ran in:  13.454347372055054
Exciton, frame 76503 ran in:  13.581885814666748
Exciton, frame 76504 ran in:  13.188945293426514
Exciton, frame 76505 ran in:  13.999716758728027
Exciton, frame 76506 ran in:  13.640474081039429
Exciton, frame 76507 ran in:  14.241453647613525
Exciton, frame 76508 ran in:  13.326491594314575
Exciton, frame 76509 ran in:  13.983593940734863
Exciton, frame 76510 ran in:  13.374803304672241
Exciton, frame 76511 ran in:  13.672992467880249
Exciton, frame 76512 ran in:  13.224395751953125
Exciton, frame 76513 ran in:  13.232820987701416
Exciton, frame 76514 ran in:  13.828863620758057
Exciton, frame 76515 ran in:  13.373953580856323
Exciton, frame 76516 ran in:  14.304023742675781
Exciton, frame 76517 ran in:  13.281592845916748
Exciton, frame 76518 ran in:  14.09154987335205
Exciton, frame 76519 ran in:  13.3167245388031
Exciton, frame 76520 ran in:  13.508388996124268
Exciton, frame 76521 ran in:  13.273255825042725
Exciton, frame 76522 ran in:  13.454481601715088
Exciton, frame 76523 ran in:  13.582914590835571
Exciton, frame 76524 ran in:  13.662574529647827
Exciton, frame 76525 ran in:  13.356659412384033
Exciton, frame 76526 ran in:  13.466550350189209
Exciton, frame 76527 ran in:  13.692399740219116
Exciton, frame 76528 ran in:  13.34092903137207
Exciton, frame 76529 ran in:  13.336284875869751
Exciton, frame 76530 ran in:  14.17312216758728
Exciton, frame 76531 ran in:  13.795025825500488
Exciton, frame 76532 ran in:  13.516660690307617
Exciton, frame 76533 ran in:  13.569863557815552
Exciton, frame 76534 ran in:  13.581356525421143
Exciton, frame 76535 ran in:  13.297579765319824
Exciton, frame 76536 ran in:  14.02739691734314
Exciton, frame 76537 ran in:  13.29641318321228
Exciton, frame 76538 ran in:  13.278984308242798
Exciton, frame 76539 ran in:  13.26519513130188
Exciton, frame 76540 ran in:  13.458940029144287
Exciton, frame 76541 ran in:  13.509319543838501
Exciton, frame 76542 ran in:  13.383628368377686
Exciton, frame 76543 ran in:  13.518755674362183
Exciton, frame 76544 ran in:  13.82846474647522
Exciton, frame 76545 ran in:  14.239263534545898
Exciton, frame 76546 ran in:  14.444321632385254
Exciton, frame 76547 ran in:  14.026079654693604
Exciton, frame 76548 ran in:  13.332210540771484
Exciton, frame 76549 ran in:  13.432471990585327
Exciton, frame 76550 ran in:  13.339314460754395
Exciton, frame 76551 ran in:  13.068615674972534
Exciton, frame 76552 ran in:  13.349287271499634
Exciton, frame 76553 ran in:  13.904613018035889
Exciton, frame 76554 ran in:  13.585819721221924
Exciton, frame 76555 ran in:  13.59198260307312
Exciton, frame 76556 ran in:  13.253424644470215
Exciton, frame 76557 ran in:  13.176056861877441
Exciton, frame 76558 ran in:  13.09746766090393
Exciton, frame 76559 ran in:  13.247020244598389
Exciton, frame 76560 ran in:  14.17077898979187
