cpu-bind=MASK - bp1-compute164, task 4294967295 4294967295 [0]: mask 0xa7fb00ffa7fb00ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 45.056077 secs
Exciton, frame 88450 ran in:  13.737342357635498
Exciton, frame 88451 ran in:  13.952112674713135
Exciton, frame 88452 ran in:  13.646554470062256
Exciton, frame 88453 ran in:  13.899885892868042
Exciton, frame 88454 ran in:  13.728276252746582
Exciton, frame 88455 ran in:  13.755907535552979
Exciton, frame 88456 ran in:  14.034240484237671
Exciton, frame 88457 ran in:  13.866915464401245
Exciton, frame 88458 ran in:  13.511430978775024
Exciton, frame 88459 ran in:  13.73999285697937
Exciton, frame 88460 ran in:  13.855950355529785
Exciton, frame 88461 ran in:  13.829452991485596
Exciton, frame 88462 ran in:  13.347476720809937
Exciton, frame 88463 ran in:  12.961536169052124
Exciton, frame 88464 ran in:  13.561482191085815
Exciton, frame 88465 ran in:  13.351437091827393
Exciton, frame 88466 ran in:  13.46423888206482
Exciton, frame 88467 ran in:  13.40960955619812
Exciton, frame 88468 ran in:  13.495961666107178
Exciton, frame 88469 ran in:  13.571527004241943
Exciton, frame 88470 ran in:  13.465264558792114
Exciton, frame 88471 ran in:  13.370190143585205
Exciton, frame 88472 ran in:  13.40263056755066
Exciton, frame 88473 ran in:  13.634554862976074
Exciton, frame 88474 ran in:  13.677268981933594
Exciton, frame 88475 ran in:  13.445921897888184
Exciton, frame 88476 ran in:  13.745547533035278
Exciton, frame 88477 ran in:  13.44411039352417
Exciton, frame 88478 ran in:  13.978050231933594
Exciton, frame 88479 ran in:  13.58010482788086
Exciton, frame 88480 ran in:  13.929935932159424
Exciton, frame 88481 ran in:  13.965678215026855
Exciton, frame 88482 ran in:  13.91654372215271
Exciton, frame 88483 ran in:  13.484429359436035
Exciton, frame 88484 ran in:  13.516681671142578
Exciton, frame 88485 ran in:  13.231438636779785
Exciton, frame 88486 ran in:  13.435431003570557
Exciton, frame 88487 ran in:  13.138484239578247
Exciton, frame 88488 ran in:  13.44158935546875
Exciton, frame 88489 ran in:  13.128947257995605
Exciton, frame 88490 ran in:  13.422486305236816
Exciton, frame 88491 ran in:  12.944104671478271
Exciton, frame 88492 ran in:  13.57060718536377
Exciton, frame 88493 ran in:  13.28370451927185
Exciton, frame 88494 ran in:  13.35623550415039
Exciton, frame 88495 ran in:  13.267171144485474
Exciton, frame 88496 ran in:  13.81057095527649
Exciton, frame 88497 ran in:  13.591943979263306
Exciton, frame 88498 ran in:  13.767211437225342
Exciton, frame 88499 ran in:  13.298635959625244
Exciton, frame 88500 ran in:  13.419454574584961
Exciton, frame 88501 ran in:  13.160066604614258
Exciton, frame 88502 ran in:  13.219160556793213
Exciton, frame 88503 ran in:  13.431895017623901
Exciton, frame 88504 ran in:  13.51637578010559
Exciton, frame 88505 ran in:  13.517485857009888
Exciton, frame 88506 ran in:  13.463020086288452
Exciton, frame 88507 ran in:  13.515751600265503
Exciton, frame 88508 ran in:  13.644030332565308
Exciton, frame 88509 ran in:  13.400603294372559
Exciton, frame 88510 ran in:  13.697393417358398
Exciton, frame 88511 ran in:  13.331005334854126
Exciton, frame 88512 ran in:  13.979715585708618
Exciton, frame 88513 ran in:  13.888078689575195
Exciton, frame 88514 ran in:  13.33755111694336
Exciton, frame 88515 ran in:  13.099878072738647
Exciton, frame 88516 ran in:  13.520138502120972
Exciton, frame 88517 ran in:  13.442769527435303
Exciton, frame 88518 ran in:  13.301454782485962
Exciton, frame 88519 ran in:  13.107602596282959
Exciton, frame 88520 ran in:  13.38357162475586
Exciton, frame 88521 ran in:  13.514379262924194
Exciton, frame 88522 ran in:  13.330729484558105
Exciton, frame 88523 ran in:  13.433821439743042
