cpu-bind=MASK - bp1-compute131, task 4294967295 4294967295 [0]: mask 0x1fefff001fefff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 47.700942 secs
Exciton, frame 16302 ran in:  13.914833307266235
Exciton, frame 16303 ran in:  14.117933750152588
Exciton, frame 16304 ran in:  13.980983972549438
Exciton, frame 16305 ran in:  13.933828830718994
Exciton, frame 16306 ran in:  13.883243799209595
Exciton, frame 16307 ran in:  13.839240550994873
Exciton, frame 16308 ran in:  13.509065866470337
Exciton, frame 16309 ran in:  13.25937819480896
Exciton, frame 16310 ran in:  13.859976768493652
Exciton, frame 16311 ran in:  13.702004194259644
Exciton, frame 16312 ran in:  13.656167030334473
Exciton, frame 16313 ran in:  13.56952691078186
Exciton, frame 16314 ran in:  14.131967782974243
Exciton, frame 16315 ran in:  13.779524326324463
Exciton, frame 16316 ran in:  14.19636869430542
Exciton, frame 16317 ran in:  14.283460140228271
Exciton, frame 16318 ran in:  13.528635740280151
Exciton, frame 16319 ran in:  12.642565250396729
Exciton, frame 16320 ran in:  13.774796724319458
Exciton, frame 16321 ran in:  13.997115850448608
Exciton, frame 16322 ran in:  13.869595289230347
Exciton, frame 16323 ran in:  12.782591581344604
Exciton, frame 16324 ran in:  13.868861436843872
Exciton, frame 16325 ran in:  13.995197534561157
Exciton, frame 16326 ran in:  13.767470121383667
Exciton, frame 16327 ran in:  13.734682083129883
Exciton, frame 16328 ran in:  14.21100640296936
Exciton, frame 16329 ran in:  13.861945629119873
Exciton, frame 16330 ran in:  13.818084001541138
Exciton, frame 16331 ran in:  13.713013410568237
Exciton, frame 16332 ran in:  13.963293313980103
Exciton, frame 16333 ran in:  12.632002592086792
Exciton, frame 16334 ran in:  13.866528749465942
Exciton, frame 16335 ran in:  13.849505424499512
Exciton, frame 16336 ran in:  12.825832605361938
Exciton, frame 16337 ran in:  12.550294399261475
Exciton, frame 16338 ran in:  14.1174898147583
Exciton, frame 16339 ran in:  13.916476488113403
Exciton, frame 16340 ran in:  13.317546606063843
Exciton, frame 16341 ran in:  13.837854146957397
Exciton, frame 16342 ran in:  13.421666383743286
Exciton, frame 16343 ran in:  13.923361539840698
Exciton, frame 16344 ran in:  13.880782127380371
Exciton, frame 16345 ran in:  13.927612781524658
Exciton, frame 16346 ran in:  13.558274984359741
Exciton, frame 16347 ran in:  13.401096820831299
Exciton, frame 16348 ran in:  12.798782110214233
Exciton, frame 16349 ran in:  13.987590789794922
Exciton, frame 16350 ran in:  13.895636081695557
Exciton, frame 16351 ran in:  13.217500686645508
Exciton, frame 16352 ran in:  13.387491703033447
Exciton, frame 16353 ran in:  13.680808782577515
Exciton, frame 16354 ran in:  14.037330865859985
Exciton, frame 16355 ran in:  12.881396055221558
Exciton, frame 16356 ran in:  13.204953908920288
Exciton, frame 16357 ran in:  13.960461616516113
Exciton, frame 16358 ran in:  13.982777833938599
Exciton, frame 16359 ran in:  14.009935855865479
Exciton, frame 16360 ran in:  12.639732360839844
Exciton, frame 16361 ran in:  13.990180969238281
Exciton, frame 16362 ran in:  12.772774696350098
Exciton, frame 16363 ran in:  12.950944900512695
Exciton, frame 16364 ran in:  13.936006307601929
Exciton, frame 16365 ran in:  14.058065414428711
Exciton, frame 16366 ran in:  13.2082679271698
Exciton, frame 16367 ran in:  13.898277759552002
Exciton, frame 16368 ran in:  13.905036687850952
Exciton, frame 16369 ran in:  13.923656225204468
Exciton, frame 16370 ran in:  13.985677242279053
Exciton, frame 16371 ran in:  13.978807210922241
Exciton, frame 16372 ran in:  13.885489225387573
Exciton, frame 16373 ran in:  13.767337322235107
Exciton, frame 16374 ran in:  13.783815145492554
Exciton, frame 16375 ran in:  12.683101415634155
Exciton, frame 16376 ran in:  12.677545309066772
Exciton, frame 16377 ran in:  13.748183727264404
Exciton, frame 16378 ran in:  13.590601205825806
Exciton, frame 16379 ran in:  13.854835271835327
Exciton, frame 16380 ran in:  13.876514673233032
Exciton, frame 16381 ran in:  13.771036386489868
Exciton, frame 16382 ran in:  13.944694995880127
Exciton, frame 16383 ran in:  12.96374773979187
Exciton, frame 16384 ran in:  12.657368421554565
Exciton, frame 16385 ran in:  13.198586225509644
Exciton, frame 16386 ran in:  13.902549982070923
Exciton, frame 16387 ran in:  14.040649652481079
Exciton, frame 16388 ran in:  13.061387777328491
Exciton, frame 16389 ran in:  12.781860828399658
Exciton, frame 16390 ran in:  14.11404824256897
Exciton, frame 16391 ran in:  13.243942022323608
Exciton, frame 16392 ran in:  13.552692890167236
Exciton, frame 16393 ran in:  13.921773910522461
Exciton, frame 16394 ran in:  13.920053482055664
Exciton, frame 16395 ran in:  13.792020797729492
Exciton, frame 16396 ran in:  13.871220588684082
Exciton, frame 16397 ran in:  13.879654169082642
Exciton, frame 16398 ran in:  13.634406805038452
Exciton, frame 16399 ran in:  14.245235919952393
Exciton, frame 16400 ran in:  13.923468589782715
Exciton, frame 16401 ran in:  12.784067392349243
Exciton, frame 16402 ran in:  13.809387922286987
Exciton, frame 16403 ran in:  13.917484998703003
Exciton, frame 16404 ran in:  13.798479795455933
Exciton, frame 16405 ran in:  13.92227578163147
Exciton, frame 16406 ran in:  13.94238567352295
Exciton, frame 16407 ran in:  13.96452283859253
Exciton, frame 16408 ran in:  13.95194125175476
Exciton, frame 16409 ran in:  14.014742136001587
Exciton, frame 16410 ran in:  12.88075041770935
Exciton, frame 16411 ran in:  12.711156368255615
Exciton, frame 16412 ran in:  12.733402013778687
Exciton, frame 16413 ran in:  13.910476922988892
Exciton, frame 16414 ran in:  12.590121984481812
Exciton, frame 16415 ran in:  14.201294183731079
Exciton, frame 16416 ran in:  12.941787481307983
Exciton, frame 16417 ran in:  13.936615705490112
Exciton, frame 16418 ran in:  13.68451976776123
Exciton, frame 16419 ran in:  13.885375022888184
Exciton, frame 16420 ran in:  13.896101236343384
Exciton, frame 16421 ran in:  13.454766988754272
Exciton, frame 16422 ran in:  13.867158889770508
Exciton, frame 16423 ran in:  13.665833473205566
Exciton, frame 16424 ran in:  12.466104745864868
Exciton, frame 16425 ran in:  13.977885723114014
Exciton, frame 16426 ran in:  12.533050775527954
Exciton, frame 16427 ran in:  13.745405435562134
Exciton, frame 16428 ran in:  13.899165391921997
Exciton, frame 16429 ran in:  13.878825664520264
Exciton, frame 16430 ran in:  13.38713788986206
Exciton, frame 16431 ran in:  13.924360275268555
Exciton, frame 16432 ran in:  13.921496629714966
Exciton, frame 16433 ran in:  13.898098468780518
Exciton, frame 16434 ran in:  12.981091499328613
Exciton, frame 16435 ran in:  12.77762508392334
Exciton, frame 16436 ran in:  13.717739343643188
Exciton, frame 16437 ran in:  12.741785287857056
Exciton, frame 16438 ran in:  13.868141174316406
Exciton, frame 16439 ran in:  14.116257429122925
Exciton, frame 16440 ran in:  13.50514554977417
Exciton, frame 16441 ran in:  13.695985555648804
Exciton, frame 16442 ran in:  13.475802659988403
Exciton, frame 16443 ran in:  13.765852212905884
Exciton, frame 16444 ran in:  13.808276891708374
Exciton, frame 16445 ran in:  13.66424036026001
Exciton, frame 16446 ran in:  13.804939270019531
Exciton, frame 16447 ran in:  13.521001815795898
Exciton, frame 16448 ran in:  14.159151077270508
Exciton, frame 16449 ran in:  13.78249979019165
Exciton, frame 16450 ran in:  13.930493593215942
Exciton, frame 16451 ran in:  14.143013715744019
Exciton, frame 16452 ran in:  12.786283254623413
Exciton, frame 16453 ran in:  13.990663051605225
Exciton, frame 16454 ran in:  13.95099949836731
Exciton, frame 16455 ran in:  13.872761487960815
Exciton, frame 16456 ran in:  13.30646824836731
Exciton, frame 16457 ran in:  13.896871089935303
Exciton, frame 16458 ran in:  14.029896020889282
Exciton, frame 16459 ran in:  13.79749846458435
Exciton, frame 16460 ran in:  13.90568208694458
Exciton, frame 16461 ran in:  13.852473020553589
Exciton, frame 16462 ran in:  13.853692531585693
Exciton, frame 16463 ran in:  13.778745174407959
Exciton, frame 16464 ran in:  13.951353549957275
Exciton, frame 16465 ran in:  14.050654172897339
Exciton, frame 16466 ran in:  13.102579832077026
Exciton, frame 16467 ran in:  13.9097580909729
Exciton, frame 16468 ran in:  14.004499435424805
Exciton, frame 16469 ran in:  13.900075435638428
Exciton, frame 16470 ran in:  14.118125200271606
Exciton, frame 16471 ran in:  12.589341640472412
Exciton, frame 16472 ran in:  13.754074573516846
Exciton, frame 16473 ran in:  13.685514450073242
Exciton, frame 16474 ran in:  13.918980836868286
Exciton, frame 16475 ran in:  13.606551170349121
Exciton, frame 16476 ran in:  14.156825304031372
Exciton, frame 16477 ran in:  12.67741870880127
Exciton, frame 16478 ran in:  14.109315395355225
Exciton, frame 16479 ran in:  12.758723974227905
Exciton, frame 16480 ran in:  14.034260749816895
Exciton, frame 16481 ran in:  13.894957542419434
Exciton, frame 16482 ran in:  13.863268852233887
Exciton, frame 16483 ran in:  13.689297437667847
Exciton, frame 16484 ran in:  13.970242261886597
Exciton, frame 16485 ran in:  13.906388521194458
Exciton, frame 16486 ran in:  12.51272177696228
Exciton, frame 16487 ran in:  13.823616743087769
Exciton, frame 16488 ran in:  13.90414309501648
Exciton, frame 16489 ran in:  12.511035919189453
Exciton, frame 16490 ran in:  14.176082134246826
Exciton, frame 16491 ran in:  12.869476079940796
Exciton, frame 16492 ran in:  14.165419578552246
Exciton, frame 16493 ran in:  12.704725503921509
Exciton, frame 16494 ran in:  14.023538589477539
Exciton, frame 16495 ran in:  13.136419773101807
Exciton, frame 16496 ran in:  12.861196041107178
Exciton, frame 16497 ran in:  12.72318959236145
Exciton, frame 16498 ran in:  13.909984827041626
Exciton, frame 16499 ran in:  14.162105560302734
Exciton, frame 16500 ran in:  13.856886625289917
Exciton, frame 16501 ran in:  12.630299091339111
Exciton, frame 16502 ran in:  13.82331657409668
Exciton, frame 16503 ran in:  14.124397993087769
Exciton, frame 16504 ran in:  13.991621255874634
Exciton, frame 16505 ran in:  13.789182186126709
Exciton, frame 16506 ran in:  14.00868010520935
Exciton, frame 16507 ran in:  13.644954442977905
Exciton, frame 16508 ran in:  14.109440803527832
Exciton, frame 16509 ran in:  13.89838695526123
Exciton, frame 16510 ran in:  13.391554355621338
Exciton, frame 16511 ran in:  13.872712135314941
Exciton, frame 16512 ran in:  13.938304901123047
Exciton, frame 16513 ran in:  13.853881120681763
Exciton, frame 16514 ran in:  13.035608053207397
Exciton, frame 16515 ran in:  13.918883323669434
Exciton, frame 16516 ran in:  13.923907041549683
Exciton, frame 16517 ran in:  14.00475001335144
Exciton, frame 16518 ran in:  13.899226427078247
Exciton, frame 16519 ran in:  14.12875247001648
Exciton, frame 16520 ran in:  13.776582717895508
Exciton, frame 16521 ran in:  13.970051765441895
Exciton, frame 16522 ran in:  13.695358753204346
Exciton, frame 16523 ran in:  13.885646343231201
Exciton, frame 16524 ran in:  12.967690467834473
Exciton, frame 16525 ran in:  13.842575311660767
Exciton, frame 16526 ran in:  13.966834306716919
Exciton, frame 16527 ran in:  13.950148820877075
Exciton, frame 16528 ran in:  14.019313097000122
Exciton, frame 16529 ran in:  13.984973430633545
Exciton, frame 16530 ran in:  13.728486061096191
Exciton, frame 16531 ran in:  13.794541120529175
Exciton, frame 16532 ran in:  13.82345175743103
Exciton, frame 16533 ran in:  14.051234006881714
Exciton, frame 16534 ran in:  13.714457035064697
Exciton, frame 16535 ran in:  14.119789600372314
Exciton, frame 16536 ran in:  12.627040386199951
Exciton, frame 16537 ran in:  13.849255084991455
Exciton, frame 16538 ran in:  14.032949686050415
Exciton, frame 16539 ran in:  12.562895059585571
Exciton, frame 16540 ran in:  13.699662923812866
Exciton, frame 16541 ran in:  12.82801866531372
