cpu-bind=MASK - bp1-compute168, task 4294967295 4294967295 [0]: mask 0x2ffd30bb2ffd30bb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 32.759545 secs
Exciton, frame 12413 ran in:  13.59535837173462
Exciton, frame 12414 ran in:  13.902617454528809
Exciton, frame 12415 ran in:  13.773660898208618
Exciton, frame 12416 ran in:  13.368713617324829
Exciton, frame 12417 ran in:  13.566283464431763
Exciton, frame 12418 ran in:  13.765029191970825
Exciton, frame 12419 ran in:  14.373376369476318
Exciton, frame 12420 ran in:  14.01705002784729
Exciton, frame 12421 ran in:  14.216500759124756
Exciton, frame 12422 ran in:  14.477650880813599
Exciton, frame 12423 ran in:  13.20448112487793
Exciton, frame 12424 ran in:  13.836427211761475
Exciton, frame 12425 ran in:  13.600143194198608
Exciton, frame 12426 ran in:  14.096402168273926
Exciton, frame 12427 ran in:  14.042929649353027
Exciton, frame 12428 ran in:  13.395302772521973
Exciton, frame 12429 ran in:  13.718865633010864
Exciton, frame 12430 ran in:  13.579433917999268
Exciton, frame 12431 ran in:  14.194506168365479
Exciton, frame 12432 ran in:  13.69944953918457
Exciton, frame 12433 ran in:  13.565119981765747
Exciton, frame 12434 ran in:  12.989002466201782
Exciton, frame 12435 ran in:  13.733878135681152
Exciton, frame 12436 ran in:  13.718238353729248
Exciton, frame 12437 ran in:  13.864460945129395
Exciton, frame 12438 ran in:  14.466345310211182
Exciton, frame 12439 ran in:  13.670280933380127
Exciton, frame 12440 ran in:  13.321631908416748
Exciton, frame 12441 ran in:  13.927867650985718
Exciton, frame 12442 ran in:  13.703199863433838
Exciton, frame 12443 ran in:  13.977173089981079
Exciton, frame 12444 ran in:  14.40208387374878
Exciton, frame 12445 ran in:  13.383009195327759
Exciton, frame 12446 ran in:  13.390681505203247
Exciton, frame 12447 ran in:  13.392878770828247
Exciton, frame 12448 ran in:  14.15339970588684
Exciton, frame 12449 ran in:  13.449797868728638
Exciton, frame 12450 ran in:  14.033743381500244
Exciton, frame 12451 ran in:  13.29414415359497
Exciton, frame 12452 ran in:  13.598608493804932
Exciton, frame 12453 ran in:  13.304381847381592
Exciton, frame 12454 ran in:  13.517842292785645
Exciton, frame 12455 ran in:  13.471789121627808
Exciton, frame 12456 ran in:  14.23407793045044
Exciton, frame 12457 ran in:  14.823588132858276
Exciton, frame 12458 ran in:  14.287689447402954
Exciton, frame 12459 ran in:  13.734203815460205
Exciton, frame 12460 ran in:  13.913782358169556
Exciton, frame 12461 ran in:  13.23208236694336
Exciton, frame 12462 ran in:  13.285382509231567
Exciton, frame 12463 ran in:  13.3486909866333
Exciton, frame 12464 ran in:  13.090484857559204
Exciton, frame 12465 ran in:  14.341270685195923
Exciton, frame 12466 ran in:  14.346619367599487
Exciton, frame 12467 ran in:  13.096028089523315
Exciton, frame 12468 ran in:  13.711575508117676
Exciton, frame 12469 ran in:  15.250048160552979
Exciton, frame 12470 ran in:  13.745120763778687
Exciton, frame 12471 ran in:  14.075344324111938
Exciton, frame 12472 ran in:  13.397746086120605
Exciton, frame 12473 ran in:  13.323741436004639
Exciton, frame 12474 ran in:  13.065156936645508
Exciton, frame 12475 ran in:  13.312978029251099
Exciton, frame 12476 ran in:  13.413976430892944
Exciton, frame 12477 ran in:  13.416022777557373
Exciton, frame 12478 ran in:  13.109663248062134
Exciton, frame 12479 ran in:  14.296475172042847
Exciton, frame 12480 ran in:  13.956233263015747
Exciton, frame 12481 ran in:  12.747212886810303
Exciton, frame 12482 ran in:  13.1544508934021
Exciton, frame 12483 ran in:  12.763192415237427
Exciton, frame 12484 ran in:  12.545416116714478
Exciton, frame 12485 ran in:  12.301341533660889
Exciton, frame 12486 ran in:  12.943318128585815
Exciton, frame 12487 ran in:  12.698884725570679
Exciton, frame 12488 ran in:  12.656887769699097
Exciton, frame 12489 ran in:  12.630421161651611
Exciton, frame 12490 ran in:  12.711846590042114
Exciton, frame 12491 ran in:  13.06051516532898
Exciton, frame 12492 ran in:  12.941341638565063
Exciton, frame 12493 ran in:  13.433617115020752
Exciton, frame 12494 ran in:  12.795222759246826
Exciton, frame 12495 ran in:  13.15941309928894
Exciton, frame 12496 ran in:  13.575877904891968
Exciton, frame 12497 ran in:  13.707145929336548
Exciton, frame 12498 ran in:  12.614551305770874
Exciton, frame 12499 ran in:  12.690004825592041
Exciton, frame 12500 ran in:  12.708430051803589
Exciton, frame 12501 ran in:  12.859116315841675
Exciton, frame 12502 ran in:  13.191537618637085
Exciton, frame 12503 ran in:  12.792905807495117
Exciton, frame 12504 ran in:  12.659473657608032
Exciton, frame 12505 ran in:  13.461613893508911
Exciton, frame 12506 ran in:  12.736771583557129
Exciton, frame 12507 ran in:  13.147554636001587
Exciton, frame 12508 ran in:  13.124388217926025
Exciton, frame 12509 ran in:  13.2428457736969
Exciton, frame 12510 ran in:  13.019731044769287
Exciton, frame 12511 ran in:  13.029566287994385
Exciton, frame 12512 ran in:  13.136765956878662
Exciton, frame 12513 ran in:  12.965401649475098
Exciton, frame 12514 ran in:  13.045429468154907
Exciton, frame 12515 ran in:  12.746458292007446
Exciton, frame 12516 ran in:  12.948076486587524
Exciton, frame 12517 ran in:  12.888622283935547
Exciton, frame 12518 ran in:  12.589719533920288
Exciton, frame 12519 ran in:  12.818553686141968
Exciton, frame 12520 ran in:  12.785426378250122
Exciton, frame 12521 ran in:  13.151933670043945
Exciton, frame 12522 ran in:  12.580548286437988
Exciton, frame 12523 ran in:  12.924230575561523
Exciton, frame 12524 ran in:  12.782473802566528
Exciton, frame 12525 ran in:  13.044695138931274
Exciton, frame 12526 ran in:  12.938487529754639
Exciton, frame 12527 ran in:  12.933448791503906
Exciton, frame 12528 ran in:  13.069500207901001
Exciton, frame 12529 ran in:  12.928316354751587
Exciton, frame 12530 ran in:  13.110983610153198
Exciton, frame 12531 ran in:  12.882492780685425
Exciton, frame 12532 ran in:  12.677327156066895
Exciton, frame 12533 ran in:  12.67839789390564
Exciton, frame 12534 ran in:  13.30892300605774
Exciton, frame 12535 ran in:  12.921563386917114
Exciton, frame 12536 ran in:  12.631378173828125
Exciton, frame 12537 ran in:  12.58651065826416
Exciton, frame 12538 ran in:  12.553630590438843
Exciton, frame 12539 ran in:  12.875780820846558
Exciton, frame 12540 ran in:  13.250537395477295
Exciton, frame 12541 ran in:  12.922611236572266
Exciton, frame 12542 ran in:  13.325109481811523
