cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfdff003bfdff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 58.239989 secs
Exciton, frame 4406 ran in:  12.855193853378296
Exciton, frame 4407 ran in:  12.44989013671875
Exciton, frame 4408 ran in:  12.703987121582031
Exciton, frame 4409 ran in:  12.261588335037231
Exciton, frame 4410 ran in:  13.893563032150269
Exciton, frame 4411 ran in:  12.546314477920532
Exciton, frame 4412 ran in:  12.709895610809326
Exciton, frame 4413 ran in:  12.69864797592163
Exciton, frame 4414 ran in:  12.603749990463257
Exciton, frame 4415 ran in:  12.308477401733398
Exciton, frame 4416 ran in:  12.996708869934082
Exciton, frame 4417 ran in:  12.602704763412476
Exciton, frame 4418 ran in:  12.853136539459229
Exciton, frame 4419 ran in:  12.44364881515503
Exciton, frame 4420 ran in:  12.670363187789917
Exciton, frame 4421 ran in:  12.642737865447998
Exciton, frame 4422 ran in:  12.548516750335693
Exciton, frame 4423 ran in:  12.87708067893982
Exciton, frame 4424 ran in:  12.67879605293274
Exciton, frame 4425 ran in:  12.54166054725647
Exciton, frame 4426 ran in:  12.86114501953125
Exciton, frame 4427 ran in:  12.817035436630249
Exciton, frame 4428 ran in:  12.764757871627808
Exciton, frame 4429 ran in:  13.116889953613281
Exciton, frame 4430 ran in:  12.866883516311646
Exciton, frame 4431 ran in:  12.500865697860718
Exciton, frame 4432 ran in:  12.933426141738892
Exciton, frame 4433 ran in:  13.06627345085144
Exciton, frame 4434 ran in:  12.626812934875488
Exciton, frame 4435 ran in:  12.700250387191772
Exciton, frame 4436 ran in:  12.8130464553833
Exciton, frame 4437 ran in:  12.732439041137695
Exciton, frame 4438 ran in:  12.429315328598022
Exciton, frame 4439 ran in:  12.786202192306519
Exciton, frame 4440 ran in:  12.614120721817017
Exciton, frame 4441 ran in:  13.485896110534668
Exciton, frame 4442 ran in:  12.829091548919678
Exciton, frame 4443 ran in:  12.9917151927948
Exciton, frame 4444 ran in:  12.697829246520996
Exciton, frame 4445 ran in:  13.915201902389526
Exciton, frame 4446 ran in:  12.381836891174316
Exciton, frame 4447 ran in:  12.820343255996704
Exciton, frame 4448 ran in:  12.644761085510254
Exciton, frame 4449 ran in:  12.967595338821411
Exciton, frame 4450 ran in:  13.18567442893982
Exciton, frame 4451 ran in:  12.725145816802979
Exciton, frame 4452 ran in:  12.601551294326782
Exciton, frame 4453 ran in:  12.635131120681763
Exciton, frame 4454 ran in:  12.677452087402344
Exciton, frame 4455 ran in:  12.774212121963501
Exciton, frame 4456 ran in:  12.558478116989136
Exciton, frame 4457 ran in:  12.534984111785889
Exciton, frame 4458 ran in:  12.710125207901001
Exciton, frame 4459 ran in:  12.705317258834839
Exciton, frame 4460 ran in:  12.224708080291748
Exciton, frame 4461 ran in:  12.925923824310303
Exciton, frame 4462 ran in:  12.436885833740234
Exciton, frame 4463 ran in:  12.768927097320557
Exciton, frame 4464 ran in:  13.086724519729614
Exciton, frame 4465 ran in:  12.452067375183105
Exciton, frame 4466 ran in:  12.955411434173584
Exciton, frame 4467 ran in:  12.838000535964966
Exciton, frame 4468 ran in:  12.401941776275635
Exciton, frame 4469 ran in:  13.951359033584595
Exciton, frame 4470 ran in:  13.390199661254883
Exciton, frame 4471 ran in:  12.762858629226685
Exciton, frame 4472 ran in:  13.448069095611572
Exciton, frame 4473 ran in:  12.685096979141235
Exciton, frame 4474 ran in:  12.705169200897217
Exciton, frame 4475 ran in:  12.689367771148682
Exciton, frame 4476 ran in:  12.266552925109863
Exciton, frame 4477 ran in:  12.510460615158081
Exciton, frame 4478 ran in:  12.863367080688477
