cpu-bind=MASK - bp1-compute132, task 4294967295 4294967295 [0]: mask 0xdbb6ddb0dbb6ddb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 79.654321 secs
Exciton, frame 1444 ran in:  14.082977533340454
Exciton, frame 1445 ran in:  13.983813524246216
Exciton, frame 1446 ran in:  14.143158912658691
Exciton, frame 1447 ran in:  13.84717869758606
Exciton, frame 1448 ran in:  13.81961989402771
Exciton, frame 1449 ran in:  13.965261697769165
Exciton, frame 1450 ran in:  14.240977048873901
Exciton, frame 1451 ran in:  14.099005222320557
Exciton, frame 1452 ran in:  14.046699285507202
Exciton, frame 1453 ran in:  14.144011735916138
Exciton, frame 1454 ran in:  14.06964921951294
Exciton, frame 1455 ran in:  13.853890657424927
Exciton, frame 1456 ran in:  14.017515182495117
Exciton, frame 1457 ran in:  14.194419145584106
Exciton, frame 1458 ran in:  13.9986412525177
Exciton, frame 1459 ran in:  14.26010775566101
Exciton, frame 1460 ran in:  14.010439157485962
Exciton, frame 1461 ran in:  14.150047063827515
Exciton, frame 1462 ran in:  13.841304540634155
Exciton, frame 1463 ran in:  13.957239627838135
Exciton, frame 1464 ran in:  14.085405588150024
Exciton, frame 1465 ran in:  13.781032800674438
Exciton, frame 1466 ran in:  14.006823539733887
Exciton, frame 1467 ran in:  13.832637786865234
Exciton, frame 1468 ran in:  14.01697564125061
Exciton, frame 1469 ran in:  14.148197412490845
Exciton, frame 1470 ran in:  14.047980785369873
Exciton, frame 1471 ran in:  14.306111097335815
Exciton, frame 1472 ran in:  13.939117670059204
Exciton, frame 1473 ran in:  14.031453609466553
Exciton, frame 1474 ran in:  14.001659631729126
Exciton, frame 1475 ran in:  13.658592462539673
Exciton, frame 1476 ran in:  14.095798015594482
Exciton, frame 1477 ran in:  14.152451276779175
Exciton, frame 1478 ran in:  14.271620750427246
Exciton, frame 1479 ran in:  13.790212631225586
Exciton, frame 1480 ran in:  13.893516778945923
