#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
59.4%	297	-2869708.162237648	300.1539353059428	0.0771
59.6%	298	-2870073.162237648	300.2273696298323	0.0771
59.8%	299	-2870424.162237648	300.3760638867683	0.0771
60.0%	300	-2870142.162237648	300.38649415995127	0.0771
60.2%	301	-2870025.162237648	300.2120266651263	0.0771
60.4%	302	-2869887.162237648	300.23828055202034	0.0771
60.6%	303	-2869686.162237648	300.0640462311582	0.0771
60.8%	304	-2869827.162237648	300.07802847856703	0.0771
61.0%	305	-2870124.162237648	300.18212826251914	0.0771
61.2%	306	-2870836.162237648	300.3640970386523	0.0771
61.4%	307	-2871724.162237648	300.69164693898136	0.0771
61.6%	308	-2872110.162237648	300.93384132797456	0.0771
61.8%	309	-2872349.162237648	300.9206526309812	0.077
62.0%	310	-2872236.162237648	301.0453350743509	0.077
62.2%	311	-2871840.162237648	300.84962888751215	0.0771
62.4%	312	-2871698.162237648	300.7768195350819	0.0771
62.6%	313	-2871280.162237648	300.6530326293782	0.0771
62.8%	314	-2870900.162237648	300.4383391873454	0.077
63.0%	315	-2870600.162237648	300.41456355473053	0.077
63.2%	316	-2870306.162237648	300.22397115419585	0.077
63.4%	317	-2870464.162237648	300.2026173705241	0.077
63.6%	318	-2870872.162237648	300.3157341730259	0.077
63.8%	319	-2871184.162237648	300.44366287249795	0.0771
64.0%	320	-2871369.162237648	300.58425932092257	0.0771
64.2%	321	-2870839.162237648	300.4741378644103	0.0771
64.4%	322	-2870223.162237648	300.2632978172849	0.0771
64.6%	323	-2870082.162237648	300.0984033845186	0.0771
64.8%	324	-2870964.162237648	300.32739444179515	0.077
65.0%	325	-2872588.162237648	300.82512041776437	0.077
65.2%	326	-2873476.162237648	301.3057627215945	0.077
65.4%	327	-2872788.162237648	301.34217555844026	0.077
65.6%	328	-2871261.162237648	300.8938747563652	0.077
65.8%	329	-2870013.162237648	300.25051516785265	0.077
66.0%	330	-2870158.162237648	299.96883309221664	0.077
66.2%	331	-2870999.162237648	300.24018562940074	0.0771
66.4%	332	-2871693.162237648	300.52770276805563	0.0771
66.6%	333	-2871836.162237648	300.8001217364044	0.0771
66.8%	334	-2871572.162237648	300.7596863345893	0.0771
67.0%	335	-2871606.162237648	300.66656114676704	0.077
67.2%	336	-2871900.162237648	300.75186129031835	0.077
67.4%	337	-2871728.162237648	300.783666335688	0.077
67.6%	338	-2871080.162237648	300.6151632103255	0.077
67.8%	339	-2870261.162237648	300.2356694410554	0.0771
68.0%	340	-2870134.162237648	300.00950875879437	0.0771
68.2%	341	-2870752.162237648	300.0619324719656	0.0771
68.4%	342	-2871258.162237648	300.2252397069853	0.0771
68.6%	343	-2871221.162237648	300.33104800592514	0.0771
68.8%	344	-2870811.162237648	300.2907471198095	0.077
69.0%	345	-2870669.162237648	300.1111778283487	0.077
69.2%	346	-2871318.162237648	300.158898906814	0.077
69.4%	347	-2872332.162237648	300.4735931847425	0.0771
69.6%	348	-2872604.162237648	300.8335114871928	0.0771
69.8%	349	-2871778.162237648	300.7491950781219	0.0771
70.0%	350	-2870744.2777230088	300.34087368542754	0.0771
70.2%	351	-2870525.2777230088	300.0360672190904	0.0771
70.4%	352	-2871132.2777230088	300.22856273571034	0.077
70.6%	353	-2871423.2777230088	300.45303904769685	0.077
70.8%	354	-2870751.2777230088	300.40610554110026	0.077
71.0%	355	-2869790.2777230088	300.0736467728833	0.077
71.2%	356	-2869171.2777230088	299.78149962383446	0.077
71.4%	357	-2869377.2777230088	299.67301980422985	0.077
71.6%	358	-2870009.2777230088	299.72685827229844	0.0771
71.8%	359	-2870141.2777230088	299.92325052436365	0.0771
72.0%	360	-2869717.2777230088	299.8549333114756	0.0771
72.2%	361	-2869093.2777230088	299.5486938288822	0.077
72.4%	362	-2868934.2777230088	299.3385405164162	0.077
72.6%	363	-2869651.2777230088	299.60104765426246	0.077
72.8%	364	-2870263.2777230088	299.9651631108888	0.077
73.0%	365	-2870763.2777230088	300.2080976999459	0.0771
73.2%	366	-2871380.2777230088	300.4225467879995	0.0771
73.4%	367	-2871927.2777230088	300.6743393091432	0.0771
73.6%	368	-2872256.2777230088	300.8496104410854	0.0771
73.8%	369	-2871913.2777230088	300.84428333416815	0.077
74.0%	370	-2871157.2777230088	300.5509701036733	0.077
74.2%	371	-2870832.2777230088	300.2952074541511	0.077
74.4%	372	-2870861.2777230088	300.2441680811942	0.077
74.6%	373	-2871413.2777230088	300.4099447979581	0.077
74.8%	374	-2871819.2777230088	300.66579439803445	0.0771
75.0%	375	-2871482.594527697	300.72887130863313	0.0771
75.2%	376	-2870713.594527697	300.4465650165888	0.0771
75.4%	377	-2869858.594527697	300.0844640426613	0.0771
75.6%	378	-2869357.594527697	299.8270131158509	0.077
75.8%	379	-2869317.594527697	299.712497583106	0.077
76.0%	380	-2869398.594527697	299.5620407093668	0.077
76.2%	381	-2869877.594527697	299.68214559605843	0.0771
76.4%	382	-2870176.594527697	299.88493936526544	0.0771
76.6%	383	-2870003.594527697	299.9062886172956	0.0771
76.8%	384	-2869585.594527697	299.7348061484214	0.077
77.0%	385	-2869207.594527697	299.55425945680486	0.077
77.2%	386	-2869297.594527697	299.4392963198988	0.0771
77.4%	387	-2869749.594527697	299.5353854515105	0.0771
77.6%	388	-2870385.594527697	299.625995303216	0.0771
77.8%	389	-2871094.594527697	299.8524045578333	0.077
78.0%	390	-2871463.594527697	300.0554250893483	0.077
78.2%	391	-2871324.594527697	300.080550665146	0.077
78.4%	392	-2870856.594527697	299.95614206460294	0.077
78.6%	393	-2870605.594527697	299.80628355824814	0.077
78.8%	394	-2870835.594527697	299.82842545592234	0.077
79.0%	395	-2871094.594527697	299.98218700280864	0.077
79.2%	396	-2871115.594527697	300.1008152475428	0.0771
79.4%	397	-2870690.594527697	300.0258581725501	0.0771
79.6%	398	-2870249.594527697	299.8638773975883	0.0771
79.8%	399	-2870284.594527697	299.77237816807855	0.077
80.0%	400	-2870925.594527697	299.83000509678965	0.077
80.2%	401	-2871707.594527697	300.1107241800613	0.077
80.4%	402	-2871910.594527697	300.30365585433805	0.077
80.6%	403	-2871560.594527697	300.22413910453514	0.077
80.8%	404	-2871391.594527697	300.04648934426353	0.077
81.0%	405	-2871589.594527697	300.08009039955533	0.0771
81.2%	406	-2872232.594527697	300.28280330601166	0.0771
81.4%	407	-2872611.594527697	300.5469533895062	0.0771
81.6%	408	-2872545.594527697	300.59913270024884	0.0771
81.8%	409	-2872323.594527697	300.4920488037401	0.0771
82.0%	410	-2872125.594527697	300.3763736379836	0.077
82.2%	411	-2872219.594527697	300.37824088709016	0.077
82.4%	412	-2872784.594527697	300.421058188773	0.077
82.6%	413	-2873267.594527697	300.6093162460081	0.0771
82.8%	414	-2873443.594527697	300.69058454278905	0.0771
83.0%	415	-2873251.594527697	300.61792591892095	0.0771
83.2%	416	-2873143.594527697	300.4728346551425	0.0771
83.4%	417	-2873300.594527697	300.5556332063847	0.0771
83.6%	418	-2873509.594527697	300.60752838088086	0.0771
83.8%	419	-2873273.594527697	300.59912476637084	0.077
84.0%	420	-2872535.594527697	300.3193474240811	0.077
84.2%	421	-2871753.594527697	300.1019744434553	0.077
84.4%	422	-2871575.594527697	299.88357194293036	0.0771
84.6%	423	-2872053.594527697	299.99810030671847	0.0771
84.8%	424	-2872617.594527697	300.23726609249303	0.0771
85.0%	425	-2872567.594527697	300.35502543570817	0.0771
85.2%	426	-2871900.594527697	300.1975156254219	0.0771
85.4%	427	-2871148.594527697	299.84834429170377	0.077
85.6%	428	-2871101.594527697	299.64252296674823	0.077
85.8%	429	-2871813.594527697	299.78376430535303	0.0771
86.0%	430	-2872568.594527697	300.09059334274724	0.0771
86.2%	431	-2872904.594527697	300.3285586115522	0.0771
86.4%	432	-2872887.594527697	300.4274577072434	0.0771
86.6%	433	-2872762.594527697	300.4200480617151	0.0771
86.8%	434	-2872953.594527697	300.46409863944314	0.0771
87.0%	435	-2873043.594527697	300.5987100964251	0.0771
87.2%	436	-2872993.594527697	300.50571775500293	0.077
87.4%	437	-2872793.594527697	300.42929609376705	0.077
87.6%	438	-2872436.594527697	300.41260827924185	0.077
87.8%	439	-2872393.594527697	300.39122047128467	0.077
88.0%	440	-2872651.594527697	300.43316417895363	0.0771
88.2%	441	-2872754.594527697	300.4956490131798	0.0771
88.4%	442	-2872669.594527697	300.44684706288035	0.0771
88.6%	443	-2872213.594527697	300.35369543930426	0.0771
88.8%	444	-2871909.594527697	300.15303809877554	0.077
89.0%	445	-2871967.594527697	300.1163040832733	0.077
89.2%	446	-2872021.594527697	300.1405468753467	0.077
89.4%	447	-2871914.594527697	300.0959765046142	0.0771
89.6%	448	-2871452.594527697	300.03314519396906	0.0771
89.8%	449	-2871106.594527697	299.85209879605185	0.0771
90.0%	450	-2871523.594527697	299.89920005010265	0.0771
90.2%	451	-2872330.594527697	300.1942834562879	0.0771
90.4%	452	-2872917.594527697	300.4204633797407	0.0771
90.6%	453	-2872904.594527697	300.5474948507954	0.0771
90.8%	454	-2872448.594527697	300.41577911141934	0.0771
91.0%	455	-2872427.594527697	300.34811151073507	0.0771
91.2%	456	-2872652.594527697	300.47206259127546	0.0771
91.4%	457	-2872952.594527697	300.5777464575616	0.0771
91.6%	458	-2872989.594527697	300.674145407971	0.0771
91.8%	459	-2872661.594527697	300.63931118055604	0.077
92.0%	460	-2872413.594527697	300.5606656282202	0.0771
92.2%	461	-2872576.594527697	300.54054891795744	0.0771
92.4%	462	-2872812.594527697	300.5611408613447	0.0771
92.6%	463	-2873021.594527697	300.6917506840464	0.0771
92.8%	464	-2872678.594527697	300.64521843671287	0.077
93.0%	465	-2872311.594527697	300.5002638311907	0.077
93.2%	466	-2871979.594527697	300.45905079657825	0.077
93.4%	467	-2871802.594527697	300.25586583766176	0.077
93.6%	468	-2871959.594527697	300.2701093528267	0.077
93.8%	469	-2872346.594527697	300.40396412749965	0.0771
