cpu-bind=MASK - bp1-compute117, task 4294967295 4294967295 [0]: mask 0x3f6fff3f6fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 31.458374 secs
Exciton, frame 3525 ran in:  11.888444423675537
Exciton, frame 3526 ran in:  12.538787603378296
Exciton, frame 3527 ran in:  12.148971319198608
Exciton, frame 3528 ran in:  11.819746494293213
Exciton, frame 3529 ran in:  12.258342742919922
Exciton, frame 3530 ran in:  11.861420154571533
Exciton, frame 3531 ran in:  12.108520984649658
Exciton, frame 3532 ran in:  12.410839557647705
Exciton, frame 3533 ran in:  11.956820011138916
Exciton, frame 3534 ran in:  11.611910343170166
Exciton, frame 3535 ran in:  11.591887950897217
Exciton, frame 3536 ran in:  11.771093130111694
Exciton, frame 3537 ran in:  11.915385246276855
Exciton, frame 3538 ran in:  11.693683624267578
Exciton, frame 3539 ran in:  11.474595785140991
Exciton, frame 3540 ran in:  11.373338222503662
Exciton, frame 3541 ran in:  11.629211187362671
Exciton, frame 3542 ran in:  11.986155986785889
Exciton, frame 3543 ran in:  11.867221355438232
Exciton, frame 3544 ran in:  11.51508116722107
Exciton, frame 3545 ran in:  11.842954635620117
Exciton, frame 3546 ran in:  12.02652645111084
Exciton, frame 3547 ran in:  11.549593687057495
Exciton, frame 3548 ran in:  11.651558637619019
Exciton, frame 3549 ran in:  12.018977403640747
Exciton, frame 3550 ran in:  11.869507789611816
Exciton, frame 3551 ran in:  11.995205640792847
Exciton, frame 3552 ran in:  11.920022964477539
Exciton, frame 3553 ran in:  11.737565755844116
Exciton, frame 3554 ran in:  11.842010021209717
Exciton, frame 3555 ran in:  11.719940662384033
Exciton, frame 3556 ran in:  12.0368812084198
Exciton, frame 3557 ran in:  11.94766092300415
Exciton, frame 3558 ran in:  11.938937664031982
Exciton, frame 3559 ran in:  11.8771071434021
Exciton, frame 3560 ran in:  12.225627183914185
Exciton, frame 3561 ran in:  11.999804019927979
