cpu-bind=MASK - bp1-compute068, task 4294967295 4294967295 [0]: mask 0xfffff0fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 38.513663 secs
Exciton, frame 1532 ran in:  12.233695030212402
Exciton, frame 1533 ran in:  12.316314220428467
Exciton, frame 1534 ran in:  11.967496633529663
Exciton, frame 1535 ran in:  12.27668809890747
Exciton, frame 1536 ran in:  12.247637748718262
Exciton, frame 1537 ran in:  12.151652812957764
Exciton, frame 1538 ran in:  12.008199453353882
Exciton, frame 1539 ran in:  12.479607582092285
Exciton, frame 1540 ran in:  12.292477369308472
Exciton, frame 1541 ran in:  12.422086715698242
Exciton, frame 1542 ran in:  12.198603391647339
Exciton, frame 1543 ran in:  12.283560752868652
Exciton, frame 1544 ran in:  12.117730617523193
Exciton, frame 1545 ran in:  12.573125123977661
Exciton, frame 1546 ran in:  12.30138111114502
Exciton, frame 1547 ran in:  12.670814514160156
Exciton, frame 1548 ran in:  12.275783777236938
Exciton, frame 1549 ran in:  12.528316259384155
Exciton, frame 1550 ran in:  12.077134847640991
Exciton, frame 1551 ran in:  12.229396104812622
Exciton, frame 1552 ran in:  12.123713970184326
Exciton, frame 1553 ran in:  11.999554872512817
Exciton, frame 1554 ran in:  12.267624139785767
Exciton, frame 1555 ran in:  12.097726821899414
Exciton, frame 1556 ran in:  11.953434467315674
Exciton, frame 1557 ran in:  11.99883508682251
Exciton, frame 1558 ran in:  12.348494291305542
Exciton, frame 1559 ran in:  11.818682193756104
Exciton, frame 1560 ran in:  12.0565824508667
Exciton, frame 1561 ran in:  11.853952169418335
Exciton, frame 1562 ran in:  12.021041631698608
