cpu-bind=MASK - bp1-compute164, task 4294967295 4294967295 [0]: mask 0xd6dba6b6d6dba6b6 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 84.837916 secs
Exciton, frame 496 ran in:  13.84403657913208
Exciton, frame 497 ran in:  13.546006917953491
Exciton, frame 498 ran in:  13.936790943145752
Exciton, frame 499 ran in:  13.77891755104065
Exciton, frame 500 ran in:  13.901533365249634
Exciton, frame 501 ran in:  13.641554832458496
Exciton, frame 502 ran in:  13.512501001358032
Exciton, frame 503 ran in:  13.558707237243652
Exciton, frame 504 ran in:  13.854453325271606
Exciton, frame 505 ran in:  13.780083179473877
Exciton, frame 506 ran in:  14.065120935440063
Exciton, frame 507 ran in:  13.830023527145386
Exciton, frame 508 ran in:  13.986634492874146
Exciton, frame 509 ran in:  13.857221364974976
Exciton, frame 510 ran in:  14.115090370178223
Exciton, frame 511 ran in:  13.899996757507324
Exciton, frame 512 ran in:  13.711944818496704
Exciton, frame 513 ran in:  13.676512718200684
Exciton, frame 514 ran in:  13.571370124816895
Exciton, frame 515 ran in:  13.947931051254272
Exciton, frame 516 ran in:  13.993412256240845
Exciton, frame 517 ran in:  13.827323198318481
Exciton, frame 518 ran in:  13.885571002960205
Exciton, frame 519 ran in:  13.80551266670227
Exciton, frame 520 ran in:  13.547258377075195
Exciton, frame 521 ran in:  13.945765495300293
Exciton, frame 522 ran in:  13.694029808044434
Exciton, frame 523 ran in:  13.857100486755371
Exciton, frame 524 ran in:  13.934414386749268
Exciton, frame 525 ran in:  13.653991937637329
Exciton, frame 526 ran in:  13.655718564987183
Exciton, frame 527 ran in:  13.71100640296936
Exciton, frame 528 ran in:  13.485852003097534
Exciton, frame 529 ran in:  13.809916973114014
Exciton, frame 530 ran in:  13.707521200180054
Exciton, frame 531 ran in:  13.380485534667969
Exciton, frame 532 ran in:  13.654999732971191
Exciton, frame 533 ran in:  13.990240573883057
Exciton, frame 534 ran in:  13.595104455947876
Exciton, frame 535 ran in:  13.621358871459961
Exciton, frame 536 ran in:  13.951469659805298
Exciton, frame 537 ran in:  14.011223554611206
Exciton, frame 538 ran in:  13.779401779174805
Exciton, frame 539 ran in:  13.746184349060059
Exciton, frame 540 ran in:  13.559508323669434
Exciton, frame 541 ran in:  13.679835081100464
Exciton, frame 542 ran in:  13.951275825500488
Exciton, frame 543 ran in:  13.78535532951355
Exciton, frame 544 ran in:  13.891708612442017
Exciton, frame 545 ran in:  13.763157606124878
Exciton, frame 546 ran in:  13.86168885231018
Exciton, frame 547 ran in:  13.561590909957886
Exciton, frame 548 ran in:  13.715387344360352
Exciton, frame 549 ran in:  13.739345788955688
Exciton, frame 550 ran in:  13.871802568435669
Exciton, frame 551 ran in:  13.705621480941772
Exciton, frame 552 ran in:  13.708704948425293
Exciton, frame 553 ran in:  13.754163980484009
Exciton, frame 554 ran in:  13.899417638778687
Exciton, frame 555 ran in:  13.503918409347534
Exciton, frame 556 ran in:  13.937814474105835
Exciton, frame 557 ran in:  13.582209348678589
Exciton, frame 558 ran in:  13.713564157485962
Exciton, frame 559 ran in:  13.69885540008545
Exciton, frame 560 ran in:  13.798795700073242
Exciton, frame 561 ran in:  13.96923565864563
Exciton, frame 562 ran in:  13.610384702682495
Exciton, frame 563 ran in:  14.138046741485596
Exciton, frame 564 ran in:  13.606929063796997
Exciton, frame 565 ran in:  14.082334280014038
Exciton, frame 566 ran in:  13.980543375015259
Exciton, frame 567 ran in:  13.345645189285278
Exciton, frame 568 ran in:  13.578429937362671
Exciton, frame 569 ran in:  13.710158824920654
Exciton, frame 570 ran in:  13.868905782699585
Exciton, frame 571 ran in:  13.670098304748535
Exciton, frame 572 ran in:  13.58003044128418
Exciton, frame 573 ran in:  13.806212902069092
Exciton, frame 574 ran in:  13.765629768371582
Exciton, frame 575 ran in:  13.92431116104126
Exciton, frame 576 ran in:  13.644985914230347
Exciton, frame 577 ran in:  13.670747518539429
Exciton, frame 578 ran in:  13.753808975219727
Exciton, frame 579 ran in:  13.73721981048584
Exciton, frame 580 ran in:  13.662649393081665
Exciton, frame 581 ran in:  14.03714632987976
Exciton, frame 582 ran in:  13.542405128479004
Exciton, frame 583 ran in:  13.667199611663818
Exciton, frame 584 ran in:  13.61651349067688
