cpu-bind=MASK - bp1-compute157, task 4294967295 4294967295 [0]: mask 0x1fbf6dd01fbf6dd set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 21.669063 secs
Exciton, frame 4536 ran in:  13.796325445175171
Exciton, frame 4537 ran in:  13.723343849182129
Exciton, frame 4538 ran in:  13.507128477096558
Exciton, frame 4539 ran in:  13.73770523071289
Exciton, frame 4540 ran in:  13.977015972137451
Exciton, frame 4541 ran in:  13.649909496307373
Exciton, frame 4542 ran in:  14.151345491409302
Exciton, frame 4543 ran in:  13.916180849075317
Exciton, frame 4544 ran in:  13.716602325439453
Exciton, frame 4545 ran in:  13.718446493148804
Exciton, frame 4546 ran in:  14.02590298652649
Exciton, frame 4547 ran in:  14.018730163574219
Exciton, frame 4548 ran in:  13.833507537841797
Exciton, frame 4549 ran in:  13.99554705619812
Exciton, frame 4550 ran in:  13.86832046508789
Exciton, frame 4551 ran in:  14.096761703491211
Exciton, frame 4552 ran in:  13.994189500808716
Exciton, frame 4553 ran in:  14.062542200088501
Exciton, frame 4554 ran in:  13.99490737915039
Exciton, frame 4555 ran in:  13.66999101638794
Exciton, frame 4556 ran in:  13.930659055709839
Exciton, frame 4557 ran in:  14.036659717559814
Exciton, frame 4558 ran in:  13.76472783088684
Exciton, frame 4559 ran in:  13.975209712982178
Exciton, frame 4560 ran in:  14.161234617233276
