cpu-bind=MASK - bp1-compute129, task 4294967295 4294967295 [0]: mask 0x7ffbbb007ffbbb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 75.113663 secs
Exciton, frame 3521 ran in:  13.380869150161743
Exciton, frame 3522 ran in:  13.46105408668518
Exciton, frame 3523 ran in:  13.598674297332764
Exciton, frame 3524 ran in:  14.066108465194702
Exciton, frame 3525 ran in:  13.469639778137207
Exciton, frame 3526 ran in:  13.731703996658325
Exciton, frame 3527 ran in:  13.419430017471313
Exciton, frame 3528 ran in:  13.653778314590454
Exciton, frame 3529 ran in:  13.802281379699707
Exciton, frame 3530 ran in:  14.09697699546814
Exciton, frame 3531 ran in:  13.94869589805603
Exciton, frame 3532 ran in:  14.106330394744873
Exciton, frame 3533 ran in:  13.8370041847229
Exciton, frame 3534 ran in:  13.702815532684326
Exciton, frame 3535 ran in:  13.47844386100769
Exciton, frame 3536 ran in:  13.61139726638794
Exciton, frame 3537 ran in:  13.46777629852295
Exciton, frame 3538 ran in:  13.399794340133667
Exciton, frame 3539 ran in:  13.590506315231323
Exciton, frame 3540 ran in:  14.016392230987549
Exciton, frame 3541 ran in:  13.446611166000366
Exciton, frame 3542 ran in:  13.559799194335938
Exciton, frame 3543 ran in:  13.307766437530518
Exciton, frame 3544 ran in:  13.80979323387146
Exciton, frame 3545 ran in:  13.371316909790039
Exciton, frame 3546 ran in:  13.582750082015991
Exciton, frame 3547 ran in:  13.400764226913452
Exciton, frame 3548 ran in:  13.872055768966675
Exciton, frame 3549 ran in:  13.522066593170166
Exciton, frame 3550 ran in:  13.645872592926025
Exciton, frame 3551 ran in:  13.668493032455444
Exciton, frame 3552 ran in:  13.46042013168335
Exciton, frame 3553 ran in:  13.255972623825073
Exciton, frame 3554 ran in:  13.365103006362915
Exciton, frame 3555 ran in:  13.659492492675781
Exciton, frame 3556 ran in:  13.779216051101685
Exciton, frame 3557 ran in:  13.5393648147583
Exciton, frame 3558 ran in:  13.190006971359253
Exciton, frame 3559 ran in:  13.29216718673706
Exciton, frame 3560 ran in:  13.704720973968506
Exciton, frame 3561 ran in:  13.497555017471313
