cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0xfffff000000000000000000000000000fffff000000000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 46.143145 secs
Exciton, frame 6498 ran in:  22.08803677558899
Exciton, frame 6499 ran in:  23.025782346725464
Exciton, frame 6500 ran in:  16.786637544631958
Exciton, frame 6501 ran in:  21.72264289855957
Exciton, frame 6502 ran in:  22.510748386383057
Exciton, frame 6503 ran in:  18.47079348564148
Exciton, frame 6504 ran in:  20.61835026741028
Exciton, frame 6505 ran in:  21.51905083656311
Exciton, frame 6506 ran in:  21.810893535614014
Exciton, frame 6507 ran in:  19.098406314849854
Exciton, frame 6508 ran in:  22.062125205993652
Exciton, frame 6509 ran in:  22.167606592178345
Exciton, frame 6510 ran in:  22.982630252838135
Exciton, frame 6511 ran in:  22.589707136154175
Exciton, frame 6512 ran in:  20.418858289718628
Exciton, frame 6513 ran in:  16.980135679244995
Exciton, frame 6514 ran in:  19.601187705993652
Exciton, frame 6515 ran in:  22.226590633392334
Exciton, frame 6516 ran in:  22.40659523010254
Exciton, frame 6517 ran in:  22.051912307739258
Exciton, frame 6518 ran in:  23.22706890106201
Exciton, frame 6519 ran in:  22.135211944580078
Exciton, frame 6520 ran in:  21.940898895263672
Exciton, frame 6521 ran in:  22.32295536994934
Exciton, frame 6522 ran in:  21.260500192642212
Exciton, frame 6523 ran in:  18.431097984313965
Exciton, frame 6524 ran in:  23.25065279006958
Exciton, frame 6525 ran in:  21.943756341934204
Exciton, frame 6526 ran in:  22.51407265663147
Exciton, frame 6527 ran in:  17.656874895095825
Exciton, frame 6528 ran in:  21.9884352684021
Exciton, frame 6529 ran in:  19.072260856628418
Exciton, frame 6530 ran in:  22.36642861366272
Exciton, frame 6531 ran in:  17.01019549369812
Exciton, frame 6532 ran in:  21.471967458724976
Exciton, frame 6533 ran in:  22.955281019210815
Exciton, frame 6534 ran in:  22.05081796646118
Exciton, frame 6535 ran in:  22.142822265625
Exciton, frame 6536 ran in:  20.700095891952515
Exciton, frame 6537 ran in:  23.47168517112732
Exciton, frame 6538 ran in:  17.105668544769287
Exciton, frame 6539 ran in:  19.76773500442505
Exciton, frame 6540 ran in:  21.118396282196045
Exciton, frame 6541 ran in:  22.470484018325806
Exciton, frame 6542 ran in:  16.925936460494995
Exciton, frame 6543 ran in:  22.256524324417114
Exciton, frame 6544 ran in:  16.983575105667114
Exciton, frame 6545 ran in:  18.651376008987427
Exciton, frame 6546 ran in:  22.113346815109253
Exciton, frame 6547 ran in:  22.84461259841919
Exciton, frame 6548 ran in:  22.814492225646973
Exciton, frame 6549 ran in:  22.313188314437866
