cpu-bind=MASK - bp1-compute158, task 4294967295 4294967295 [0]: mask 0x7f0f8e8f7f0f8e8f set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 22.897210 secs
Exciton, frame 18369 ran in:  14.305845737457275
Exciton, frame 18370 ran in:  14.237656593322754
Exciton, frame 18371 ran in:  14.298129558563232
Exciton, frame 18372 ran in:  14.151855945587158
Exciton, frame 18373 ran in:  14.239835739135742
Exciton, frame 18374 ran in:  14.311216592788696
Exciton, frame 18375 ran in:  14.255168676376343
Exciton, frame 18376 ran in:  14.370037317276001
Exciton, frame 18377 ran in:  14.213678359985352
Exciton, frame 18378 ran in:  14.083418369293213
Exciton, frame 18379 ran in:  14.259464740753174
Exciton, frame 18380 ran in:  14.271063804626465
Exciton, frame 18381 ran in:  14.105403423309326
Exciton, frame 18382 ran in:  14.220449209213257
Exciton, frame 18383 ran in:  14.385152339935303
Exciton, frame 18384 ran in:  14.03123927116394
Exciton, frame 18385 ran in:  13.98292088508606
Exciton, frame 18386 ran in:  14.151203870773315
Exciton, frame 18387 ran in:  14.56562852859497
Exciton, frame 18388 ran in:  14.533327102661133
Exciton, frame 18389 ran in:  14.329935550689697
Exciton, frame 18390 ran in:  14.228055477142334
Exciton, frame 18391 ran in:  14.14486312866211
Exciton, frame 18392 ran in:  14.2211754322052
Exciton, frame 18393 ran in:  14.191033840179443
Exciton, frame 18394 ran in:  14.153653144836426
Exciton, frame 18395 ran in:  14.357334852218628
Exciton, frame 18396 ran in:  14.30245041847229
Exciton, frame 18397 ran in:  14.09152865409851
Exciton, frame 18398 ran in:  14.18795371055603
Exciton, frame 18399 ran in:  14.295703411102295
Exciton, frame 18400 ran in:  14.263946533203125
Exciton, frame 18401 ran in:  14.183239459991455
Exciton, frame 18402 ran in:  14.286387920379639
Exciton, frame 18403 ran in:  14.118052959442139
Exciton, frame 18404 ran in:  14.186066389083862
Exciton, frame 18405 ran in:  14.130699396133423
Exciton, frame 18406 ran in:  14.286948442459106
Exciton, frame 18407 ran in:  14.511730432510376
Exciton, frame 18408 ran in:  14.337801456451416
Exciton, frame 18409 ran in:  14.349886178970337
Exciton, frame 18410 ran in:  14.403026819229126
Exciton, frame 18411 ran in:  14.284374237060547
Exciton, frame 18412 ran in:  14.3064546585083
Exciton, frame 18413 ran in:  14.473665475845337
Exciton, frame 18414 ran in:  14.19131875038147
Exciton, frame 18415 ran in:  14.228075981140137
Exciton, frame 18416 ran in:  14.014951944351196
Exciton, frame 18417 ran in:  14.302157640457153
Exciton, frame 18418 ran in:  14.378097534179688
Exciton, frame 18419 ran in:  14.333922386169434
Exciton, frame 18420 ran in:  14.478255987167358
Exciton, frame 18421 ran in:  14.19422173500061
Exciton, frame 18422 ran in:  14.29864764213562
Exciton, frame 18423 ran in:  14.340184211730957
Exciton, frame 18424 ran in:  14.241474151611328
Exciton, frame 18425 ran in:  14.268625497817993
Exciton, frame 18426 ran in:  14.449746131896973
Exciton, frame 18427 ran in:  14.193948030471802
Exciton, frame 18428 ran in:  13.8416428565979
Exciton, frame 18429 ran in:  14.037194967269897
Exciton, frame 18430 ran in:  14.135077953338623
Exciton, frame 18431 ran in:  14.294813632965088
Exciton, frame 18432 ran in:  14.204952001571655
Exciton, frame 18433 ran in:  14.16023063659668
Exciton, frame 18434 ran in:  14.334462404251099
Exciton, frame 18435 ran in:  14.395529747009277
Exciton, frame 18436 ran in:  14.16840648651123
Exciton, frame 18437 ran in:  14.061238288879395
Exciton, frame 18438 ran in:  14.224667310714722
Exciton, frame 18439 ran in:  14.00770902633667
Exciton, frame 18440 ran in:  14.045469284057617
Exciton, frame 18441 ran in:  14.523528099060059
Exciton, frame 18442 ran in:  14.276225328445435
Exciton, frame 18443 ran in:  14.060367584228516
Exciton, frame 18444 ran in:  14.254569292068481
Exciton, frame 18445 ran in:  14.016329288482666
Exciton, frame 18446 ran in:  14.027262687683105
Exciton, frame 18447 ran in:  14.25655746459961
Exciton, frame 18448 ran in:  14.376203536987305
Exciton, frame 18449 ran in:  14.209558486938477
Exciton, frame 18450 ran in:  14.186575412750244
Exciton, frame 18451 ran in:  14.249974727630615
Exciton, frame 18452 ran in:  14.408064126968384
Exciton, frame 18453 ran in:  14.322271823883057
Exciton, frame 18454 ran in:  14.412594079971313
Exciton, frame 18455 ran in:  14.41374659538269
Exciton, frame 18456 ran in:  14.08879566192627
Exciton, frame 18457 ran in:  14.070983409881592
Exciton, frame 18458 ran in:  14.248526811599731
Exciton, frame 18459 ran in:  14.11271858215332
Exciton, frame 18460 ran in:  13.999899625778198
Exciton, frame 18461 ran in:  14.311342000961304
Exciton, frame 18462 ran in:  14.231693983078003
Exciton, frame 18463 ran in:  14.144479751586914
Exciton, frame 18464 ran in:  13.96488332748413
Exciton, frame 18465 ran in:  14.211271047592163
Exciton, frame 18466 ran in:  14.015127420425415
Exciton, frame 18467 ran in:  14.638612031936646
Exciton, frame 18468 ran in:  14.15122103691101
Exciton, frame 18469 ran in:  14.370943069458008
Exciton, frame 18470 ran in:  14.10744595527649
Exciton, frame 18471 ran in:  14.248190641403198
Exciton, frame 18472 ran in:  13.921685695648193
Exciton, frame 18473 ran in:  13.972309112548828
Exciton, frame 18474 ran in:  14.039674043655396
Exciton, frame 18475 ran in:  14.175026416778564
Exciton, frame 18476 ran in:  14.122483015060425
Exciton, frame 18477 ran in:  14.357003688812256
Exciton, frame 18478 ran in:  14.304112672805786
Exciton, frame 18479 ran in:  13.932693243026733
Exciton, frame 18480 ran in:  14.141617774963379
Exciton, frame 18481 ran in:  14.02287244796753
Exciton, frame 18482 ran in:  14.017189502716064
Exciton, frame 18483 ran in:  13.947734832763672
Exciton, frame 18484 ran in:  13.84411334991455
Exciton, frame 18485 ran in:  14.369431257247925
