cpu-bind=MASK - bp1-compute095, task 4294967295 4294967295 [0]: mask 0x3fcfff3fcfff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 22.683531 secs
Exciton, frame 39544 ran in:  12.189440965652466
Exciton, frame 39545 ran in:  11.703010082244873
Exciton, frame 39546 ran in:  11.987465620040894
Exciton, frame 39547 ran in:  11.961176872253418
Exciton, frame 39548 ran in:  11.675362825393677
Exciton, frame 39549 ran in:  11.575554370880127
Exciton, frame 39550 ran in:  11.710066318511963
Exciton, frame 39551 ran in:  11.381803512573242
Exciton, frame 39552 ran in:  12.07216215133667
Exciton, frame 39553 ran in:  11.923129081726074
Exciton, frame 39554 ran in:  11.789714574813843
Exciton, frame 39555 ran in:  12.357189893722534
Exciton, frame 39556 ran in:  12.694392681121826
Exciton, frame 39557 ran in:  12.120272397994995
Exciton, frame 39558 ran in:  12.209116697311401
Exciton, frame 39559 ran in:  12.039924383163452
Exciton, frame 39560 ran in:  12.176010370254517
Exciton, frame 39561 ran in:  12.463283061981201
