cpu-bind=MASK - bp1-compute139, task 4294967295 4294967295 [0]: mask 0x3f3fff003f3fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.103444 secs
Exciton, frame 87485 ran in:  12.904083013534546
Exciton, frame 87486 ran in:  12.91689395904541
Exciton, frame 87487 ran in:  12.99211597442627
Exciton, frame 87488 ran in:  12.97658634185791
Exciton, frame 87489 ran in:  13.111193656921387
Exciton, frame 87490 ran in:  13.144057989120483
Exciton, frame 87491 ran in:  12.781599760055542
Exciton, frame 87492 ran in:  13.0208740234375
Exciton, frame 87493 ran in:  12.967207431793213
Exciton, frame 87494 ran in:  13.434447288513184
Exciton, frame 87495 ran in:  13.154241561889648
Exciton, frame 87496 ran in:  13.376930236816406
Exciton, frame 87497 ran in:  13.331668138504028
Exciton, frame 87498 ran in:  13.097435235977173
Exciton, frame 87499 ran in:  12.877732038497925
Exciton, frame 87500 ran in:  12.824121236801147
Exciton, frame 87501 ran in:  13.299657106399536
Exciton, frame 87502 ran in:  13.078723907470703
Exciton, frame 87503 ran in:  13.15662431716919
Exciton, frame 87504 ran in:  13.257095336914062
Exciton, frame 87505 ran in:  13.051830768585205
Exciton, frame 87506 ran in:  13.136948347091675
Exciton, frame 87507 ran in:  12.961772203445435
Exciton, frame 87508 ran in:  12.86217188835144
Exciton, frame 87509 ran in:  13.033394813537598
Exciton, frame 87510 ran in:  13.35508942604065
Exciton, frame 87511 ran in:  13.03363561630249
Exciton, frame 87512 ran in:  12.690002918243408
Exciton, frame 87513 ran in:  12.985281705856323
Exciton, frame 87514 ran in:  13.647334575653076
Exciton, frame 87515 ran in:  13.414273738861084
Exciton, frame 87516 ran in:  13.089823961257935
Exciton, frame 87517 ran in:  13.035354137420654
Exciton, frame 87518 ran in:  13.064392805099487
Exciton, frame 87519 ran in:  13.055025100708008
Exciton, frame 87520 ran in:  13.208889484405518
Exciton, frame 87521 ran in:  13.14111065864563
Exciton, frame 87522 ran in:  13.16547679901123
Exciton, frame 87523 ran in:  13.00193190574646
Exciton, frame 87524 ran in:  12.91481614112854
Exciton, frame 87525 ran in:  13.112308740615845
Exciton, frame 87526 ran in:  12.982839822769165
Exciton, frame 87527 ran in:  12.916536569595337
Exciton, frame 87528 ran in:  13.043988943099976
Exciton, frame 87529 ran in:  12.954452276229858
Exciton, frame 87530 ran in:  12.967119932174683
Exciton, frame 87531 ran in:  13.079816579818726
Exciton, frame 87532 ran in:  13.03273892402649
Exciton, frame 87533 ran in:  13.240843772888184
Exciton, frame 87534 ran in:  13.023135423660278
Exciton, frame 87535 ran in:  13.203006982803345
Exciton, frame 87536 ran in:  13.193445205688477
Exciton, frame 87537 ran in:  12.947113275527954
Exciton, frame 87538 ran in:  13.143702983856201
Exciton, frame 87539 ran in:  13.256807088851929
Exciton, frame 87540 ran in:  13.08162522315979
Exciton, frame 87541 ran in:  13.301851987838745
Exciton, frame 87542 ran in:  13.47484040260315
Exciton, frame 87543 ran in:  13.028226375579834
Exciton, frame 87544 ran in:  13.352028131484985
Exciton, frame 87545 ran in:  12.91592812538147
Exciton, frame 87546 ran in:  13.067976474761963
Exciton, frame 87547 ran in:  12.991999626159668
Exciton, frame 87548 ran in:  13.134203433990479
Exciton, frame 87549 ran in:  12.802650690078735
Exciton, frame 87550 ran in:  13.169555425643921
Exciton, frame 87551 ran in:  12.93806266784668
Exciton, frame 87552 ran in:  13.35370135307312
Exciton, frame 87553 ran in:  13.072827339172363
Exciton, frame 87554 ran in:  13.15031099319458
Exciton, frame 87555 ran in:  12.815392971038818
Exciton, frame 87556 ran in:  13.07925009727478
Exciton, frame 87557 ran in:  13.186106204986572
Exciton, frame 87558 ran in:  13.02189016342163
Exciton, frame 87559 ran in:  13.043652296066284
Exciton, frame 87560 ran in:  12.884529829025269
Exciton, frame 87561 ran in:  13.092734336853027
