cpu-bind=MASK - bp1-compute060, task 4294967295 4294967295 [0]: mask 0x7fffe57fffe5 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.767935 secs
Exciton, frame 9454 ran in:  12.47422742843628
Exciton, frame 9455 ran in:  12.235433340072632
Exciton, frame 9456 ran in:  12.970407962799072
Exciton, frame 9457 ran in:  12.657834768295288
Exciton, frame 9458 ran in:  11.90780758857727
Exciton, frame 9459 ran in:  12.792151927947998
Exciton, frame 9460 ran in:  12.630738019943237
Exciton, frame 9461 ran in:  12.055876970291138
Exciton, frame 9462 ran in:  12.7247896194458
Exciton, frame 9463 ran in:  12.431633234024048
Exciton, frame 9464 ran in:  12.084139347076416
Exciton, frame 9465 ran in:  12.305669784545898
Exciton, frame 9466 ran in:  12.405442714691162
Exciton, frame 9467 ran in:  12.304463863372803
Exciton, frame 9468 ran in:  12.744747400283813
Exciton, frame 9469 ran in:  12.311990976333618
Exciton, frame 9470 ran in:  12.138277292251587
Exciton, frame 9471 ran in:  12.064514398574829
Exciton, frame 9472 ran in:  12.930027961730957
Exciton, frame 9473 ran in:  12.366533756256104
Exciton, frame 9474 ran in:  12.191393852233887
Exciton, frame 9475 ran in:  12.625184774398804
Exciton, frame 9476 ran in:  12.414723873138428
Exciton, frame 9477 ran in:  12.185094356536865
Exciton, frame 9478 ran in:  12.343900680541992
Exciton, frame 9479 ran in:  12.611164093017578
Exciton, frame 9480 ran in:  12.982460498809814
Exciton, frame 9481 ran in:  12.216575860977173
Exciton, frame 9482 ran in:  12.615693807601929
Exciton, frame 9483 ran in:  12.625870943069458
Exciton, frame 9484 ran in:  12.27455449104309
Exciton, frame 9485 ran in:  12.689685821533203
Exciton, frame 9486 ran in:  12.149941205978394
Exciton, frame 9487 ran in:  12.320258617401123
Exciton, frame 9488 ran in:  12.052977800369263
Exciton, frame 9489 ran in:  12.793006658554077
Exciton, frame 9490 ran in:  12.279239654541016
Exciton, frame 9491 ran in:  12.259479284286499
Exciton, frame 9492 ran in:  12.193192481994629
Exciton, frame 9493 ran in:  12.134481430053711
Exciton, frame 9494 ran in:  12.614133358001709
Exciton, frame 9495 ran in:  12.462636947631836
Exciton, frame 9496 ran in:  12.85801649093628
Exciton, frame 9497 ran in:  12.115839004516602
Exciton, frame 9498 ran in:  12.149534702301025
Exciton, frame 9499 ran in:  12.591212272644043
Exciton, frame 9500 ran in:  12.24169373512268
Exciton, frame 9501 ran in:  12.196778535842896
Exciton, frame 9502 ran in:  12.453689336776733
Exciton, frame 9503 ran in:  12.132162809371948
Exciton, frame 9504 ran in:  12.034506559371948
Exciton, frame 9505 ran in:  12.205300331115723
Exciton, frame 9506 ran in:  12.364300966262817
Exciton, frame 9507 ran in:  12.701136350631714
Exciton, frame 9508 ran in:  12.224682807922363
Exciton, frame 9509 ran in:  12.254522800445557
Exciton, frame 9510 ran in:  12.271589040756226
Exciton, frame 9511 ran in:  12.118790626525879
Exciton, frame 9512 ran in:  12.158868551254272
Exciton, frame 9513 ran in:  12.22072696685791
Exciton, frame 9514 ran in:  12.647026062011719
Exciton, frame 9515 ran in:  12.017276287078857
Exciton, frame 9516 ran in:  12.810948610305786
Exciton, frame 9517 ran in:  12.623639106750488
Exciton, frame 9518 ran in:  12.238439559936523
Exciton, frame 9519 ran in:  12.38767147064209
Exciton, frame 9520 ran in:  12.487549066543579
Exciton, frame 9521 ran in:  12.205279350280762
Exciton, frame 9522 ran in:  12.094335317611694
Exciton, frame 9523 ran in:  12.289628028869629
Exciton, frame 9524 ran in:  12.19862413406372
Exciton, frame 9525 ran in:  12.289060831069946
Exciton, frame 9526 ran in:  12.368604898452759
Exciton, frame 9527 ran in:  11.97788381576538
Exciton, frame 9528 ran in:  12.077354907989502
Exciton, frame 9529 ran in:  12.721390724182129
Exciton, frame 9530 ran in:  12.348629474639893
Exciton, frame 9531 ran in:  12.397929191589355
Exciton, frame 9532 ran in:  12.680276155471802
