cpu-bind=MASK - bp1-compute139, task 4294967295 4294967295 [0]: mask 0xff0fff00ff0fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.398987 secs
Exciton, frame 129312 ran in:  12.83018946647644
Exciton, frame 129313 ran in:  12.610413551330566
Exciton, frame 129314 ran in:  13.263939619064331
Exciton, frame 129315 ran in:  13.57613205909729
Exciton, frame 129316 ran in:  13.035310506820679
Exciton, frame 129317 ran in:  13.366535902023315
Exciton, frame 129318 ran in:  13.30556869506836
Exciton, frame 129319 ran in:  13.509097814559937
Exciton, frame 129320 ran in:  12.889824628829956
Exciton, frame 129321 ran in:  13.501569032669067
Exciton, frame 129322 ran in:  13.478864192962646
Exciton, frame 129323 ran in:  13.706342935562134
Exciton, frame 129324 ran in:  13.282560110092163
Exciton, frame 129325 ran in:  13.21885347366333
Exciton, frame 129326 ran in:  13.426997900009155
Exciton, frame 129327 ran in:  13.482480764389038
Exciton, frame 129328 ran in:  13.243879318237305
Exciton, frame 129329 ran in:  12.989366054534912
Exciton, frame 129330 ran in:  13.542186737060547
Exciton, frame 129331 ran in:  13.268500804901123
Exciton, frame 129332 ran in:  13.68393087387085
Exciton, frame 129333 ran in:  13.391347408294678
Exciton, frame 129334 ran in:  13.06259036064148
Exciton, frame 129335 ran in:  13.313300371170044
Exciton, frame 129336 ran in:  13.580229043960571
Exciton, frame 129337 ran in:  13.563952445983887
Exciton, frame 129338 ran in:  13.101411581039429
Exciton, frame 129339 ran in:  13.252347946166992
Exciton, frame 129340 ran in:  13.313340425491333
Exciton, frame 129341 ran in:  13.40683388710022
Exciton, frame 129342 ran in:  13.892853498458862
Exciton, frame 129343 ran in:  13.986770153045654
Exciton, frame 129344 ran in:  13.226967334747314
Exciton, frame 129345 ran in:  13.578802585601807
Exciton, frame 129346 ran in:  13.683127641677856
Exciton, frame 129347 ran in:  13.661549806594849
Exciton, frame 129348 ran in:  13.640792846679688
Exciton, frame 129349 ran in:  13.473106384277344
Exciton, frame 129350 ran in:  13.492746591567993
Exciton, frame 129351 ran in:  13.570915460586548
Exciton, frame 129352 ran in:  12.866830110549927
Exciton, frame 129353 ran in:  12.931813478469849
Exciton, frame 129354 ran in:  13.435296297073364
Exciton, frame 129355 ran in:  13.492538928985596
Exciton, frame 129356 ran in:  13.591522216796875
Exciton, frame 129357 ran in:  13.74134087562561
Exciton, frame 129358 ran in:  13.364229440689087
Exciton, frame 129359 ran in:  13.281260967254639
Exciton, frame 129360 ran in:  13.541197538375854
Exciton, frame 129361 ran in:  13.343017339706421
Exciton, frame 129362 ran in:  13.48704218864441
Exciton, frame 129363 ran in:  13.428350925445557
Exciton, frame 129364 ran in:  13.455919742584229
Exciton, frame 129365 ran in:  13.542984962463379
Exciton, frame 129366 ran in:  13.276809692382812
Exciton, frame 129367 ran in:  13.600958824157715
Exciton, frame 129368 ran in:  13.007455348968506
Exciton, frame 129369 ran in:  13.113884925842285
Exciton, frame 129370 ran in:  13.5456862449646
Exciton, frame 129371 ran in:  13.211960554122925
Exciton, frame 129372 ran in:  13.4856276512146
Exciton, frame 129373 ran in:  13.21309494972229
Exciton, frame 129374 ran in:  13.312580823898315
Exciton, frame 129375 ran in:  13.379987716674805
Exciton, frame 129376 ran in:  13.926167249679565
Exciton, frame 129377 ran in:  13.384258031845093
Exciton, frame 129378 ran in:  13.758416414260864
Exciton, frame 129379 ran in:  13.643184661865234
Exciton, frame 129380 ran in:  13.103684663772583
Exciton, frame 129381 ran in:  13.657714605331421
Exciton, frame 129382 ran in:  13.29594898223877
Exciton, frame 129383 ran in:  13.283599376678467
Exciton, frame 129384 ran in:  13.076898097991943
Exciton, frame 129385 ran in:  13.23961591720581
Exciton, frame 129386 ran in:  13.83530306816101
Exciton, frame 129387 ran in:  13.270482301712036
Exciton, frame 129388 ran in:  13.22830843925476
Exciton, frame 129389 ran in:  13.354336738586426
Exciton, frame 129390 ran in:  13.558904647827148
Exciton, frame 129391 ran in:  13.647647380828857
Exciton, frame 129392 ran in:  13.551029205322266
Exciton, frame 129393 ran in:  13.739994525909424
Exciton, frame 129394 ran in:  13.910316944122314
Exciton, frame 129395 ran in:  13.212274312973022
Exciton, frame 129396 ran in:  13.588287591934204
Exciton, frame 129397 ran in:  13.483825206756592
