cpu-bind=MASK - bp1-compute090, task 4294967295 4294967295 [0]: mask 0x7fa7ff7fa7ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 16.488590 secs
Exciton, frame 30350 ran in:  12.877410411834717
Exciton, frame 30351 ran in:  12.793749332427979
Exciton, frame 30352 ran in:  12.826212406158447
Exciton, frame 30353 ran in:  13.107008457183838
Exciton, frame 30354 ran in:  12.847793579101562
Exciton, frame 30355 ran in:  12.775710344314575
Exciton, frame 30356 ran in:  12.699550867080688
Exciton, frame 30357 ran in:  12.675023555755615
Exciton, frame 30358 ran in:  12.683349847793579
Exciton, frame 30359 ran in:  12.720767498016357
Exciton, frame 30360 ran in:  12.96505856513977
Exciton, frame 30361 ran in:  12.644984006881714
Exciton, frame 30362 ran in:  12.71390986442566
Exciton, frame 30363 ran in:  12.644012689590454
Exciton, frame 30364 ran in:  12.984308242797852
Exciton, frame 30365 ran in:  12.818891048431396
Exciton, frame 30366 ran in:  12.682938575744629
Exciton, frame 30367 ran in:  12.956786632537842
Exciton, frame 30368 ran in:  12.912307024002075
Exciton, frame 30369 ran in:  12.608423948287964
Exciton, frame 30370 ran in:  13.008248329162598
Exciton, frame 30371 ran in:  12.85091519355774
Exciton, frame 30372 ran in:  13.187224388122559
Exciton, frame 30373 ran in:  12.889506101608276
Exciton, frame 30374 ran in:  12.80731987953186
Exciton, frame 30375 ran in:  12.919116735458374
Exciton, frame 30376 ran in:  12.876719951629639
Exciton, frame 30377 ran in:  12.88218641281128
Exciton, frame 30378 ran in:  12.639333724975586
Exciton, frame 30379 ran in:  12.771795749664307
Exciton, frame 30380 ran in:  12.887552261352539
Exciton, frame 30381 ran in:  12.890364170074463
Exciton, frame 30382 ran in:  13.062165975570679
Exciton, frame 30383 ran in:  12.880560874938965
Exciton, frame 30384 ran in:  12.706908464431763
Exciton, frame 30385 ran in:  12.682305097579956
Exciton, frame 30386 ran in:  12.834641933441162
Exciton, frame 30387 ran in:  12.899553298950195
Exciton, frame 30388 ran in:  12.847298622131348
Exciton, frame 30389 ran in:  12.908636093139648
Exciton, frame 30390 ran in:  12.719084739685059
Exciton, frame 30391 ran in:  12.968582153320312
Exciton, frame 30392 ran in:  12.904162168502808
Exciton, frame 30393 ran in:  12.631510257720947
Exciton, frame 30394 ran in:  12.914029121398926
Exciton, frame 30395 ran in:  13.022563695907593
Exciton, frame 30396 ran in:  13.12773084640503
Exciton, frame 30397 ran in:  12.765900611877441
Exciton, frame 30398 ran in:  12.80897855758667
Exciton, frame 30399 ran in:  12.760210990905762
Exciton, frame 30400 ran in:  12.759278059005737
Exciton, frame 30401 ran in:  12.834765672683716
Exciton, frame 30402 ran in:  12.751988887786865
Exciton, frame 30403 ran in:  12.782476663589478
Exciton, frame 30404 ran in:  12.791658639907837
Exciton, frame 30405 ran in:  13.028710842132568
Exciton, frame 30406 ran in:  12.62981367111206
Exciton, frame 30407 ran in:  12.974931716918945
Exciton, frame 30408 ran in:  12.913262128829956
Exciton, frame 30409 ran in:  12.923076629638672
Exciton, frame 30410 ran in:  12.946814775466919
Exciton, frame 30411 ran in:  13.101109504699707
Exciton, frame 30412 ran in:  12.926764965057373
Exciton, frame 30413 ran in:  12.796091079711914
Exciton, frame 30414 ran in:  13.212095022201538
Exciton, frame 30415 ran in:  12.934010982513428
Exciton, frame 30416 ran in:  12.87210464477539
Exciton, frame 30417 ran in:  13.085670948028564
Exciton, frame 30418 ran in:  12.806434392929077
Exciton, frame 30419 ran in:  12.804752588272095
Exciton, frame 30420 ran in:  12.841676712036133
Exciton, frame 30421 ran in:  12.991969108581543
Exciton, frame 30422 ran in:  12.761518478393555
Exciton, frame 30423 ran in:  12.87457823753357
Exciton, frame 30424 ran in:  12.907916069030762
Exciton, frame 30425 ran in:  12.916476488113403
Exciton, frame 30426 ran in:  13.013906240463257
Exciton, frame 30427 ran in:  12.917861223220825
Exciton, frame 30428 ran in:  13.006545305252075
Exciton, frame 30429 ran in:  12.922937870025635
Exciton, frame 30430 ran in:  12.759263515472412
Exciton, frame 30431 ran in:  12.823332786560059
Exciton, frame 30432 ran in:  12.765880823135376
Exciton, frame 30433 ran in:  12.74434518814087
Exciton, frame 30434 ran in:  12.940678834915161
Exciton, frame 30435 ran in:  13.13376784324646
Exciton, frame 30436 ran in:  12.696346521377563
Exciton, frame 30437 ran in:  12.859334945678711
Exciton, frame 30438 ran in:  13.061598300933838
Exciton, frame 30439 ran in:  12.863832950592041
Exciton, frame 30440 ran in:  12.931109428405762
Exciton, frame 30441 ran in:  12.760362386703491
Exciton, frame 30442 ran in:  12.825762033462524
Exciton, frame 30443 ran in:  12.638526678085327
Exciton, frame 30444 ran in:  12.72800326347351
Exciton, frame 30445 ran in:  12.937372207641602
Exciton, frame 30446 ran in:  12.881251096725464
Exciton, frame 30447 ran in:  12.847604513168335
Exciton, frame 30448 ran in:  12.788784742355347
