cpu-bind=MASK - bp1-compute089, task 4294967295 4294967295 [0]: mask 0xffe7f5ffe7f5 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 17.070396 secs
Exciton, frame 42442 ran in:  13.25947904586792
Exciton, frame 42443 ran in:  13.46763300895691
Exciton, frame 42444 ran in:  13.433558225631714
Exciton, frame 42445 ran in:  13.095345258712769
Exciton, frame 42446 ran in:  12.989850759506226
Exciton, frame 42447 ran in:  12.83419156074524
Exciton, frame 42448 ran in:  12.92805027961731
Exciton, frame 42449 ran in:  13.148412942886353
Exciton, frame 42450 ran in:  13.151068449020386
Exciton, frame 42451 ran in:  13.479317665100098
Exciton, frame 42452 ran in:  12.633913516998291
Exciton, frame 42453 ran in:  12.942755699157715
Exciton, frame 42454 ran in:  12.892908096313477
Exciton, frame 42455 ran in:  12.877295017242432
Exciton, frame 42456 ran in:  13.125261068344116
Exciton, frame 42457 ran in:  12.775363683700562
Exciton, frame 42458 ran in:  13.256183385848999
Exciton, frame 42459 ran in:  13.198713541030884
Exciton, frame 42460 ran in:  13.19926142692566
Exciton, frame 42461 ran in:  12.936212301254272
Exciton, frame 42462 ran in:  12.565354585647583
Exciton, frame 42463 ran in:  13.085002660751343
Exciton, frame 42464 ran in:  12.930424451828003
Exciton, frame 42465 ran in:  13.310580730438232
Exciton, frame 42466 ran in:  13.190251588821411
Exciton, frame 42467 ran in:  12.7113037109375
Exciton, frame 42468 ran in:  13.670129299163818
Exciton, frame 42469 ran in:  13.455913782119751
Exciton, frame 42470 ran in:  13.695244789123535
Exciton, frame 42471 ran in:  13.108997344970703
Exciton, frame 42472 ran in:  12.77950644493103
Exciton, frame 42473 ran in:  12.789538621902466
Exciton, frame 42474 ran in:  13.102036714553833
Exciton, frame 42475 ran in:  12.88766884803772
Exciton, frame 42476 ran in:  12.985475063323975
Exciton, frame 42477 ran in:  13.41358494758606
Exciton, frame 42478 ran in:  12.88877558708191
Exciton, frame 42479 ran in:  13.19009780883789
Exciton, frame 42480 ran in:  12.97284460067749
Exciton, frame 42481 ran in:  13.145259380340576
Exciton, frame 42482 ran in:  13.450501680374146
Exciton, frame 42483 ran in:  12.910192251205444
Exciton, frame 42484 ran in:  13.107589483261108
Exciton, frame 42485 ran in:  12.96128249168396
Exciton, frame 42486 ran in:  12.806966781616211
Exciton, frame 42487 ran in:  13.329968452453613
Exciton, frame 42488 ran in:  13.119459390640259
Exciton, frame 42489 ran in:  12.899726629257202
Exciton, frame 42490 ran in:  13.04777717590332
Exciton, frame 42491 ran in:  13.236725330352783
Exciton, frame 42492 ran in:  13.01319694519043
Exciton, frame 42493 ran in:  13.237554788589478
Exciton, frame 42494 ran in:  13.046341896057129
Exciton, frame 42495 ran in:  13.125276803970337
Exciton, frame 42496 ran in:  13.009167671203613
Exciton, frame 42497 ran in:  12.984365463256836
Exciton, frame 42498 ran in:  12.8347647190094
Exciton, frame 42499 ran in:  12.904922723770142
Exciton, frame 42500 ran in:  12.913908243179321
Exciton, frame 42501 ran in:  12.839081048965454
Exciton, frame 42502 ran in:  13.071534872055054
Exciton, frame 42503 ran in:  12.89789891242981
Exciton, frame 42504 ran in:  13.16860556602478
Exciton, frame 42505 ran in:  13.262410879135132
Exciton, frame 42506 ran in:  13.158828020095825
Exciton, frame 42507 ran in:  13.124392747879028
Exciton, frame 42508 ran in:  13.07969045639038
Exciton, frame 42509 ran in:  13.143265008926392
Exciton, frame 42510 ran in:  12.84760308265686
Exciton, frame 42511 ran in:  12.777280569076538
Exciton, frame 42512 ran in:  12.720215559005737
Exciton, frame 42513 ran in:  12.720536708831787
Exciton, frame 42514 ran in:  12.715771913528442
Exciton, frame 42515 ran in:  12.714139461517334
Exciton, frame 42516 ran in:  12.805128574371338
Exciton, frame 42517 ran in:  12.410859823226929
Exciton, frame 42518 ran in:  12.599941492080688
Exciton, frame 42519 ran in:  12.62709665298462
Exciton, frame 42520 ran in:  12.965178728103638
Exciton, frame 42521 ran in:  12.986971616744995
Exciton, frame 42522 ran in:  12.521608352661133
