cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0x1ffffe000000000000000000000000001ffffe00000000000000000000000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 16.122433 secs
Exciton, frame 54546 ran in:  15.145723104476929
Exciton, frame 54547 ran in:  16.137147665023804
Exciton, frame 54548 ran in:  15.709428548812866
Exciton, frame 54549 ran in:  15.72423768043518
Exciton, frame 54550 ran in:  15.737643480300903
Exciton, frame 54551 ran in:  15.148335456848145
Exciton, frame 54552 ran in:  15.070181846618652
Exciton, frame 54553 ran in:  15.789161920547485
Exciton, frame 54554 ran in:  15.711755275726318
Exciton, frame 54555 ran in:  15.63820743560791
Exciton, frame 54556 ran in:  15.425911664962769
Exciton, frame 54557 ran in:  14.379754781723022
