cpu-bind=MASK - bp1-compute155, task 4294967295 4294967295 [0]: mask 0xf000fffff000ffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.743730 secs
Exciton, frame 3438 ran in:  12.893341302871704
Exciton, frame 3439 ran in:  12.289195537567139
Exciton, frame 3440 ran in:  12.230417966842651
Exciton, frame 3441 ran in:  11.799525499343872
Exciton, frame 3442 ran in:  11.956673622131348
Exciton, frame 3443 ran in:  11.74430227279663
Exciton, frame 3444 ran in:  11.874875545501709
Exciton, frame 3445 ran in:  12.058088779449463
Exciton, frame 3446 ran in:  12.0847806930542
Exciton, frame 3447 ran in:  11.955038785934448
Exciton, frame 3448 ran in:  11.783460855484009
Exciton, frame 3449 ran in:  11.987924814224243
Exciton, frame 3450 ran in:  11.942789793014526
Exciton, frame 3451 ran in:  12.05553650856018
Exciton, frame 3452 ran in:  12.022866249084473
Exciton, frame 3453 ran in:  11.885884523391724
Exciton, frame 3454 ran in:  11.879483699798584
Exciton, frame 3455 ran in:  11.866592645645142
Exciton, frame 3456 ran in:  11.642549276351929
Exciton, frame 3457 ran in:  12.085691213607788
Exciton, frame 3458 ran in:  11.58653473854065
Exciton, frame 3459 ran in:  12.322425365447998
Exciton, frame 3460 ran in:  11.818885564804077
Exciton, frame 3461 ran in:  12.480825424194336
Exciton, frame 3462 ran in:  11.70386791229248
Exciton, frame 3463 ran in:  11.860949516296387
Exciton, frame 3464 ran in:  11.934496879577637
Exciton, frame 3465 ran in:  11.885506629943848
Exciton, frame 3466 ran in:  11.964686632156372
Exciton, frame 3467 ran in:  12.045475244522095
Exciton, frame 3468 ran in:  11.82466983795166
Exciton, frame 3469 ran in:  12.117908000946045
Exciton, frame 3470 ran in:  11.85408067703247
Exciton, frame 3471 ran in:  11.950976133346558
Exciton, frame 3472 ran in:  11.892015218734741
Exciton, frame 3473 ran in:  12.521830320358276
Exciton, frame 3474 ran in:  11.988264799118042
Exciton, frame 3475 ran in:  12.252123832702637
Exciton, frame 3476 ran in:  11.959032773971558
Exciton, frame 3477 ran in:  11.832443714141846
Exciton, frame 3478 ran in:  12.387517929077148
Exciton, frame 3479 ran in:  11.870124340057373
Exciton, frame 3480 ran in:  12.041643619537354
Exciton, frame 3481 ran in:  11.57269287109375
Exciton, frame 3482 ran in:  11.923037767410278
Exciton, frame 3483 ran in:  11.802323341369629
Exciton, frame 3484 ran in:  12.17235016822815
Exciton, frame 3485 ran in:  11.787611246109009
Exciton, frame 3486 ran in:  11.81294059753418
Exciton, frame 3487 ran in:  11.925395250320435
Exciton, frame 3488 ran in:  11.808258056640625
Exciton, frame 3489 ran in:  11.645047426223755
Exciton, frame 3490 ran in:  11.904295682907104
Exciton, frame 3491 ran in:  11.80599069595337
Exciton, frame 3492 ran in:  11.861396551132202
Exciton, frame 3493 ran in:  11.881464958190918
Exciton, frame 3494 ran in:  11.749274015426636
Exciton, frame 3495 ran in:  11.90710997581482
Exciton, frame 3496 ran in:  11.72381043434143
Exciton, frame 3497 ran in:  12.239376783370972
Exciton, frame 3498 ran in:  12.012973546981812
Exciton, frame 3499 ran in:  12.034993410110474
Exciton, frame 3500 ran in:  12.095486640930176
Exciton, frame 3501 ran in:  11.782532691955566
Exciton, frame 3502 ran in:  12.042513847351074
Exciton, frame 3503 ran in:  12.036012172698975
Exciton, frame 3504 ran in:  12.01756477355957
Exciton, frame 3505 ran in:  12.256830930709839
Exciton, frame 3506 ran in:  11.822290182113647
Exciton, frame 3507 ran in:  11.90855860710144
Exciton, frame 3508 ran in:  11.845649003982544
Exciton, frame 3509 ran in:  12.125182390213013
Exciton, frame 3510 ran in:  12.046239614486694
Exciton, frame 3511 ran in:  12.328001260757446
Exciton, frame 3512 ran in:  11.868260145187378
Exciton, frame 3513 ran in:  12.244380950927734
Exciton, frame 3514 ran in:  11.854431867599487
Exciton, frame 3515 ran in:  11.920647144317627
Exciton, frame 3516 ran in:  11.78613805770874
Exciton, frame 3517 ran in:  11.660376071929932
Exciton, frame 3518 ran in:  11.629299879074097
Exciton, frame 3519 ran in:  11.985503435134888
Exciton, frame 3520 ran in:  11.879071712493896
Exciton, frame 3521 ran in:  12.208609580993652
Exciton, frame 3522 ran in:  11.68878960609436
Exciton, frame 3523 ran in:  11.699231147766113
Exciton, frame 3524 ran in:  12.038736581802368
Exciton, frame 3525 ran in:  12.407230138778687
Exciton, frame 3526 ran in:  12.037717819213867
Exciton, frame 3527 ran in:  11.893778562545776
Exciton, frame 3528 ran in:  11.793023586273193
Exciton, frame 3529 ran in:  12.116958141326904
Exciton, frame 3530 ran in:  12.856964588165283
Exciton, frame 3531 ran in:  12.267798900604248
