cpu-bind=MASK - bp1-compute065, task 4294967295 4294967295 [0]: mask 0xffdfdcffdfdc set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.691583 secs
Exciton, frame 48307 ran in:  12.949344635009766
Exciton, frame 48308 ran in:  12.748976469039917
Exciton, frame 48309 ran in:  12.939349174499512
Exciton, frame 48310 ran in:  12.809884071350098
Exciton, frame 48311 ran in:  13.73697566986084
Exciton, frame 48312 ran in:  13.231727838516235
Exciton, frame 48313 ran in:  12.76025390625
Exciton, frame 48314 ran in:  12.485222101211548
Exciton, frame 48315 ran in:  12.863828659057617
Exciton, frame 48316 ran in:  12.717457056045532
Exciton, frame 48317 ran in:  12.952134609222412
Exciton, frame 48318 ran in:  12.9036545753479
Exciton, frame 48319 ran in:  12.31316089630127
Exciton, frame 48320 ran in:  12.362488508224487
Exciton, frame 48321 ran in:  12.35409688949585
Exciton, frame 48322 ran in:  12.277061462402344
Exciton, frame 48323 ran in:  13.27590799331665
Exciton, frame 48324 ran in:  12.96561574935913
Exciton, frame 48325 ran in:  12.839367866516113
Exciton, frame 48326 ran in:  12.61432671546936
Exciton, frame 48327 ran in:  13.142210483551025
Exciton, frame 48328 ran in:  12.950135946273804
Exciton, frame 48329 ran in:  12.411422729492188
Exciton, frame 48330 ran in:  12.343538522720337
Exciton, frame 48331 ran in:  12.38049840927124
Exciton, frame 48332 ran in:  12.460655450820923
Exciton, frame 48333 ran in:  12.501838207244873
Exciton, frame 48334 ran in:  12.832921981811523
Exciton, frame 48335 ran in:  12.314948558807373
Exciton, frame 48336 ran in:  12.359051704406738
Exciton, frame 48337 ran in:  12.421218156814575
Exciton, frame 48338 ran in:  12.840744495391846
Exciton, frame 48339 ran in:  13.39791488647461
Exciton, frame 48340 ran in:  12.173340082168579
Exciton, frame 48341 ran in:  13.232019186019897
Exciton, frame 48342 ran in:  12.713903188705444
Exciton, frame 48343 ran in:  12.732824325561523
Exciton, frame 48344 ran in:  12.421714782714844
