cpu-bind=MASK - bp1-compute184, task 4294967295 4294967295 [0]: mask 0x1ffffe001ffffe set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 14.885451 secs
Exciton, frame 559 ran in:  13.704758405685425
Exciton, frame 560 ran in:  13.642042636871338
Exciton, frame 561 ran in:  12.759122610092163
Exciton, frame 562 ran in:  13.407074213027954
Exciton, frame 563 ran in:  12.175853252410889
Exciton, frame 564 ran in:  11.95727801322937
Exciton, frame 565 ran in:  12.89562201499939
Exciton, frame 566 ran in:  11.456971883773804
Exciton, frame 567 ran in:  11.372108459472656
Exciton, frame 568 ran in:  11.720824956893921
Exciton, frame 569 ran in:  13.196257829666138
Exciton, frame 570 ran in:  12.629178524017334
Exciton, frame 571 ran in:  13.017583847045898
Exciton, frame 572 ran in:  12.683480262756348
Exciton, frame 573 ran in:  12.271645545959473
Exciton, frame 574 ran in:  11.17676568031311
Exciton, frame 575 ran in:  11.518342971801758
Exciton, frame 576 ran in:  11.42283821105957
Exciton, frame 577 ran in:  12.08722734451294
Exciton, frame 578 ran in:  11.514098882675171
Exciton, frame 579 ran in:  11.587006330490112
Exciton, frame 580 ran in:  12.21923565864563
Exciton, frame 581 ran in:  12.15648102760315
Exciton, frame 582 ran in:  12.043015718460083
Exciton, frame 583 ran in:  11.964013576507568
Exciton, frame 584 ran in:  11.824419021606445
Exciton, frame 585 ran in:  12.18778920173645
